Antiplasmodial activity against chloroquine-sensitive, mefloquine-resistant ring stage Plasmodium falciparum D6 infected in human red blood cells after 48 hrs
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,14.2
CN1C2=CC=CC=C2C=C3C1=C4C=CC=CC4=N3.Cl,222
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NCCN(C)C.[Cl-],66
CCN(CC)CCNC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],70
CC(CN(C)C)NC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],78
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NC5CCNCC5.[Cl-],59
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NCCCN(C)C.[Cl-],46
CCN(CC)CCCNC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],32
CC(C)(CNC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2)CN(C)C.[Cl-],250
CC(C)NCCCNC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],34
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NCCCN5CCCCC5.[Cl-],34
CCN(CC)CCCC(C)NC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],161
CCN(CC)CCCNC1=C2C(=[N+](C3=C1C=CC(=C3)Cl)C)C4=CC=CC=C4N2.[Cl-],70
CCN(CC)CCCCNC1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],71
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NC5=CC=C(C=C5)N6CCCCC6.[Cl-],287
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NC5CCN(CC5)CC6=CC=CC=C6.[Cl-],86
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NC5CCN(CC5)CC6=CC=CC=C6O.[Cl-],185
CC(C)CN1CCC(CC1)NC2=C3C(=[N+](C4=CC=CC=C42)C)C5=CC=CC=C5N3.[Cl-],86
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NC5=CC=CC=C5.[Cl-],154
CCN(CC)C1=C2C(=[N+](C3=CC=CC=C31)C)C4=CC=CC=C4N2.[Cl-],1289
CCN(CC)CC1=C(C=C(C=C1)NC2=C3C(=[N+](C4=CC=CC=C42)C)C5=CC=CC=C5N3)O.[Cl-],24
C[N+]1=C2C3=C(C=C(C=C3)Cl)NC2=C(C4=C1C=C(C=C4)Cl)NC5CCNCC5.[Cl-],30
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NC5=CN=CC=C5.[Cl-],166
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=C1C=C(C=C4)Cl)NC5CCNCC5.[Cl-],70
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NCCCCN.[Cl-],245
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NCCN.[Cl-],107
C[N+]1=C2C3=CC=CC=C3NC2=C(C4=CC=CC=C41)NCCCN.[Cl-],71
