Inhibition of recombinant Schistosoma mansoni NACE using 1, N6-etheno NAD+ as substrate by fluorometric analysis
CC1=C(C=CO1)C(=O)NNC=C2C=CC(=O)C(=C2)O,88000
CC1=C(C=CO1)C(=O)NNC=C2C=CC(=O)C(=C2)OC,80000
CC1=C(C=CO1)C(=O)NN=CC2=CC=CC=C2,330000
CC1=C(C=CO1)C(=O)NNC=C2C=CC=CC2=O,130
CC1=C(C=CO1)C(=O)NN=CC2=CC=CC=C2OC,67000
CC1=C(C=CO1)C(=O)NNC=C2C=CC=C(C2=O)Cl,150
CC1=C(C=CO1)C(=O)NNC=C2C=C(C=CC2=O)Cl,33
CC1=C(C=CO1)C(=O)NNC=C2C=CC=C(C2=O)F,36
CC1=C(C=CO1)C(=O)NNC=C2C(=CC(=CC2=O)Cl)Cl,77
CC1=C(C=CO1)C(=O)NNC=C2C=C(C=CC2=O)OC,45
CC1=C(C=CO1)C(=O)NNC=C2C=CC(=CC2=O)OC,32
CC1=C(C=CO1)C(=O)NNC=C2C(=CC(=CC2=O)OC)OC,190
CC1=CC=CC(=CNNC(=O)C2=C(OC=C2)C)C1=O,59000
CC1=C(C=CO1)C(=O)NNC=C2C=CC=C(C2=O)C(C)(C)C,105000
CC1=C(C=CO1)C(=O)NNC=C2C=CC=C(C2=O)O,8700
CC1=C(C=CO1)C(=O)NNCC2=CC=CC=C2O,12300
CC1=C(C=CO1)C(=O)NNCC2=CC=CC=C2OC,11600
CC1=C(C=CO1)C(=O)NCCC2=CC=CC=C2O,131000
CC1=C(C=CO1)C(=O)N(C)N=CC2=CC=CC=C2OC,513000
CC1=C(C=CO1)C(=O)NNC(=O)C2=CC=CC=C2O,250
CC1=C(C=CO1)C(=O)NNC(=O)C2=C(C=CC(=C2)Cl)O,39
CC1=C(C=CO1)C(=O)NNC(=O)C2=C(C=C(C=C2)OC)O,74
