Cytotoxic activity against HCT 15 human colon tumor cell line, using sulforhodamine B (SRB) assay.
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3Cl.Cl,300000
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,9200
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=C(C=C4)C)C.Cl,8070
CC(=O)NC1CCC(CC1)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,252570
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,107650
CCN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,7220
CC1=CC=C(C=C1)C2=NC(=C3C=CC(=CC3=C2)C)NCCN.Cl,300000
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC=CC=C4.Cl,64220
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC(=CC=C4)C.Cl,111370
CN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,13940
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC5=CC=CC=C54.Cl,1930
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,11090
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,171430
C1CC(CCC1N)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,7240
C1=CC=C(C=C1)CNC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,87360
C1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N.Cl,1870
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Br.Cl,5260
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Cl.Cl,9780
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)N.Cl,1920
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4)C.Cl,2420
CC1=CC2=CC(=NC(=C2C=C1)N3CCCN(CC3)C)C4=CC=CC=C4C.Cl,1200
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3C.Cl,300000
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4Cl)C.Cl,5580
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)NC4CCC(CC4)N.Cl,7650
CC1=CC2=CC(=NC(=C2C=C1)N)C3=CC=CC=C3C.Cl,170
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3.Cl,300000
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,7840
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4C)C.Cl,8650
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,1670
