Inhibition of the DNA repair Poly (ADP-ribose) polymerase 1, in permeabilised L1210 murine leukemia cells
C1=CC(=CC(=C1)N)C(=O)N,19100
CC1=CC=CC2=C1CCNC2=O,440
CC1=CC=CC2=C1NC(=C3C=CC(=O)C=C3)NC2=O,220
C1=CC2=C(C(=C1)O)NC(=C3C=CC(=O)C=C3)NC2=O,290
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)N,520
C1=CC(=CC(=C1)O)C(=O)N,8000
CC1=NC(=O)C2=C(N1)C(=CC=C2)O,400
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,870
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],850
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],130
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,4200
C1=CC=C2C(=C1)C=CNC2=O,15800
C1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)O,1060
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],230
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(=O)OC,4800
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N,440
COC1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)OC,2000
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)OC,190
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,270
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F,39000
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,1340
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N=[N+]=[N-],1930
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N,300
CC1=NC(=O)C2=C(N1)C(=CC=C2)OC,780
CC1=CC=CC2=C1NC(=NC2=O)C,390
CC1=NC2=C(C=CC=C2O)C(=O)N1C,100000
CC1=NC2=C(C=CC=C2OC)C(=O)N1C,100000
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F,10000
