Inhibition of human recombinant 5'-c-myc, His6-tagged p38-alpha using MK2 (46 to 400) as substrate assessed as inhibition of phosphorylation after 60 mins by ELISA in presence of ATP
CC1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,4700
C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,2300
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,600
C1=CC(=CC=C1C(=O)NCC2=CC=NC=C2)OC3=CC=C(C=C3)Cl,2400
C1=CC(=CC=C1C(=O)NCC2=CC=NC=C2)OC3=CC=C(C=C3)F,2100
CC1=CC=CC=C1OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,2000
C1=CC=C(C(=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3)Cl,1700
C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)OC3=CC=CC=C3C#N,450
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=CN=CC=C3,560
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=NC=NC=C3,2800
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,61
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)F)C,110
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C#N)C,15
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)O)C,46
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)OCC4=CC=CC=C4)C,100000
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=O)OC)C,490
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)C)C,190
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=O)O)C,86
CCCC1=C(C=NN1C2=CC=C(C=C2)Cl)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,390
CCCC1=C(C=NN1C2=CN=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,270
CCCC1=C(C=NN1CC2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,53
CCCC1=C(C=NN1CC(C)C)C(=O)NC2=C(C=CC(=C2)S(=O)(=O)N(C)C)C,76
