Concentration required to reduce growth of human jurkat leukemia cells to 50% of control cultures, determined using a 72 hr continuous exposure
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,1000
CS(=O)(=O)NC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=CC=CC=C42)N,2000
CS(=O)(=O)NC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42,1000
CN(C)C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=CC=CC=C42)N,1000
CN(C)S(=O)(=O)C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,5000
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,800
CNS(=O)(=O)C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,2000
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC(=CC3=NC4=CC=CC=C42)N,1000
CNC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=CC=CC=C42)N,500
COC1=CC=C2C(=C(C3=C(N2)C=C(C=C3)Cl)N=C4C=C(C(=O)C(=C4)CN5CCCC5)CN6CCCC6)N1,4000
CN(C)CC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)Cl)Cl,5000
COC1=CC2=C(C=C1)C(=C3C=CC(=CC3=N2)OC)NC4=CC=C(C=C4)S(=O)(=O)N,3100
CS(=O)(=O)NC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,1000
C1=CC(=CC=C1NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)Cl)Cl)S(=O)(=O)N,20000
CN(C)C1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42,1000
CNC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,11500
CN(C)C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,6000
CN(C)CC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=CC=CC=C42)N,2500
CN(C)CC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42,7500
C1=CC(=CC=C1C(=O)N)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,20000
C1=CC(=CC=C1NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N)S(=O)(=O)N,20000
CCCCCNCC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,16000
COC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,4000
CNC1=CC=C(C=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42,1500
C1=CC=C2C(=C1)C(=C3C=CC(=CC3=N2)N)NC4=CC=C(C=C4)N,750
C1=CC(=CC=C1N)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,15000
C1=CC(=CC=C1NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N)O,10000
COC1=C(C=CC(=C1)NC2=C3C=CC=CC3=NC4=CC=CC=C42)NS(=O)(=O)C,10000
CC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,3000
CNC(=O)C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,20000
C1CCN(CC1)CC2=CC=C(C=C2)NC3=C4C=CC(=CC4=NC5=C3C=CC(=C5)N)N,20000
CN(C)C1=CC2=C(C=C1)C(=C3C=CC(=CC3=N2)N(C)C)NC4=CC=CC=C4,1400
C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC3=C4C=CC(=CC4=NC5=C3C=CC(=C5)N)N,14000
CN(C)CC1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,20000
CN(C)C1=CC2=C(C=C1)C(=C3C=CC(=CC3=N2)N(C)C)NC4=C(C=C(C=C4)NS(=O)(=O)C)OC,1000
C1=CC(=CC=C1C(=O)N)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N=[N+]=[N-])N=[N+]=[N-],1500
C1=CC(=CC=C1NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N=[N+]=[N-])N=[N+]=[N-])S(=O)(=O)N,2500
CN(C)C(=O)C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,20000
C1=CC=C(C=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N,15000
COC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC4=C2C=CC(=C4)N)N)NS(=O)(=O)C,8500
COC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC4=CC=CC=C42)N)NS(=O)(=O)C,1000
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=C(C=C4)N,750
