Antiplasmodial activity against chloroquine-, pyrimethamine- and proguanil-resistant Plasmodium falciparum K1 infected in human erythrocytes after 72 hrs by SYBR Green I fluorescence-based method
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,600
C1=CC=C2C(=C1)N=CC=N2,50000
CC1=NC2=CC=CC=C2C=C1,50000
CC1=NC=CC2=CC=CC=C12,50000
CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6000
C1=CC=C2C(=C1)C=CC(=N2)C(Cl)(Cl)Cl,8500
C1=CC=C2C(=C1)C=CN=C2C(Cl)(Cl)Cl,8000
C1=CC=C2C(=C1)C(=NC=N2)C(Cl)(Cl)Cl,50000
C1=CC=C2C(=C1)C=NC(=N2)C(Cl)(Cl)Cl,17600
CC1=NC2=CC=CC=C2C=N1,50000
C1=CC=C2C(=C1)N=CC(=N2)C(Cl)(Cl)Cl,1500
CC1=NC2=CC=CC=C2N=C1,50000
C1=CC=C2C(=C1)N=CC(=N2)C(Cl)Cl,12800
C1=CC=C2C(=C1)N=CC(=N2)C(F)(F)F,50000
C1=CC=C(C=C1)C2=NC3=CC=CC=C3N=C2C(Cl)(Cl)Cl,200
C1=CC=C2C(=C1)N=C(C3=CC=CN23)C(Cl)(Cl)Cl,1500
C1=CN2C3=C(C=C(C=C3)F)N=C(C2=C1)C(Cl)(Cl)Cl,1700
C1=CN2C3=C(C=C(C=C3)Cl)N=C(C2=C1)C(Cl)(Cl)Cl,1600
C1=CN2C3=C(C=C(C=C3)I)N=C(C2=C1)C(Cl)(Cl)Cl,1200
CC1=CC2=C(C=C1)N3C=CC=C3C(=N2)C(Cl)(Cl)Cl,2400
COC1=CC2=C(C=C1)N3C=CC=C3C(=N2)C(Cl)(Cl)Cl,4200
C1=CN2C3=C(C=C(C=C3)C#N)N=C(C2=C1)C(Cl)(Cl)Cl,1500
C1=CN2C3=C(C=C(C=C3)C(=O)O)N=C(C2=C1)C(Cl)(Cl)Cl,22000
C1=CN2C3=C(C=C(C=C3)C(=NO)N)N=C(C2=C1)C(Cl)(Cl)Cl,1750
CC1=NC2=CC=CC=C2N3C1=CC=C3,50000
CC1=CC2=C(C=C1)N3C=CC=C3C(=N2)C,50000
CC1=NC2=C(C=CC(=C2)C#N)N3C1=CC=C3,50000
C1=CC=C2C(=C1)N=C(C3=CC=CN23)C(F)(F)F,50000
