Growth inhibition of aerobic AA8 cells, after 18 hours exposure
CC1=C2C(=C(C=C1)[N+](=O)[O-])C(=CC(=N2)C3=CC=CC=C3)NCCCN(C)C,12000
CC1=CC(=C(C2=C(C=CN=C12)NCCCN(C)C)[N+](=O)[O-])C,74000
C1COCCN1CCNC2=C3C(=NC=C2)C=CC=C3[N+](=O)[O-],18000
COC1=C2C(=C(C=C1)[N+](=O)[O-])C(=CC=N2)NCC(CO)O,50000
CC1=C2C(=C(C=C1)[N+](=O)[O-])C(=CC=N2)NCC(CO)O,110000
C1=CC2=NC=CC(=C2C(=C1)[N+](=O)[O-])NCC(CO)O,33000
CC1=NC2=C(C(=CC=C2)[N+](=O)[O-])C(=C1)NCCCN(C)C,6600
CC1=CN=C2C=CC=C(C2=C1NCCCN(C)C)[N+](=O)[O-],33000
CC1=C2C(=C(C=C1)[N+](=O)[O-])C(=CC=N2)NCCCN(C)C,29000
CN(C)CCCNC1=CC=NC2=C(C=CC(=C12)[N+](=O)[O-])OC,6800
CC1=C(C2=C(C=CN=C2C=C1)NCCCN(C)C)[N+](=O)[O-],170000
CC1=C2C(=C(C=C1)[N+](=O)[O-])C(=C(C=N2)C)NCCCN(C)C,277000
CNC1=C2C(=C(C=C1)[N+](=O)[O-])C(=CC=N2)NCCCN(C)C,98000
CC1=C(C2=C(C(=CN=C2C=C1)C)NCCCN(C)C)[N+](=O)[O-],201000
CN(C)CCNC(=O)C1=CC=C(C=C1)NNC2=C3C(=NC=C2)C=CC=C3[N+](=O)[O-],13000
CN(C)CCCNC1=C2C(=NC=C1)C=CC=C2[N+](=O)[O-],12400
CC1=C(C2=C(C=CC=C2[N+](=O)[O-])N=C1C)NCCCN(C)C,47000
CCC1=C(C2=C(C=CN=C2C=C1)NCCCN(C)C)[N+](=O)[O-],108000
C1=CC2=NC=CC(=C2C(=C1)[N+](=O)[O-])NCCCO,26000
CCCCNC1=C2C(=NC=C1)C=CC=C2[N+](=O)[O-],9600
CC1=C(C2=C(C=CC(=C2N=C1C)OC)[N+](=O)[O-])NCCCN(C)C,166000
CN(C)CCCNC1=C2C(=C(C=C(C2=NC=C1)OC)OC)[N+](=O)[O-],186000
CC1=C2C(=C(C=C1)[N+](=O)[O-])C(=C(C(=N2)C)C)NCCCN(C)C,113000
