Inhibition of dopamine uptake into rat striatal tissue, using [3H]- dopamine as the radioligand.
CN(C)CC1C2CCC(C1C3=CC(=C(C=C3)Cl)Cl)CC2,29.3
C1CC2CC1C(C2C3=CC=CC=C3)CN,875
C1CC2CC1C(C2C3=CC(=CC=C3)Cl)CN,780
CN(C)CC1C2CCC(C1C3=CC=C(C=C3)OC)CC2,1430
COC1=CC=CC=C1C2C3CCC(C3)C2CN,36600
C1CC2CC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,93.6
C1CC2CC1C(C2C3=CC=C(C=C3)Cl)CN,230
COC1=CC=C(C=C1)C2C3CCC(C3)C2CN,5550
COC1=CC=CC(=C1)C2C3CCC(C3)C2CN,6560
C1CC2CCC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,34
C1CC2CCC1C(C2C3=CC=C(C=C3)Cl)CN,68.3
C1CC2CCC1C(C2C3=CC(=CC=C3)Cl)CN,960
C1CC2CCC1C(C2C3=CC=CC=C3)CN,5930
CN(C)CC1C2CCC(C2)C1C3=CC=CC=C3,4330
CN(C)CC1C2CCC(C1C3=CC(=CC=C3)Cl)CC2,283
C1CC2CCC1C(C2C3=CC=C(C=C3)N)CN,704
CN(C)CC1C2CCC(C1C3=CC=CC=C3)CC2,840
COC1=CC=C(C=C1)C2C3CCC(C2CN)CC3,1500
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,404
CN1C2CCC1C(C(C2)C3=CC=C(C=C3)F)C(=O)OC,51.3
