Inhibition of HIV-1 integrase, under 1 uM for the 3''-preprocessing
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,5100
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,3800
CC1=CC(=C2C3=C1C4=C5C(=C(C=C4C)O)C(=O)C6=C(C=C(C7=C6C5=C3C8=C7C(=CC(=C8C2=O)O)O)O)O)O,10000
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,4000
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,87800
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C(=C(C=C3O2)O)O)O)O)O)O,1300
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,2000
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,640
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,680
C1C(C(OC2=CC(=C(C=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)CC(CCC4=CC(=C(C=C4)O)O)O,1400
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NCN5CCN(CC5)C(=N)N=C(N)N)O,900
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,9500
C1=CC(=C(C=C1C=C(C#N)C(=O)NCCCNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N)O)O,10000
C1=CC(=C(C=C1CCC(=O)C2=C(C(=C(C=C2)O)O)O)O)O,1700
C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O,150
C1=CC(=CNNC=C2C=CC=C(C2=O)O)C(=O)C(=C1)O,23900
C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)O)O,2100
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NNC5(CCCC5)C(=O)[O-])O.[Na+],1200
C[Si](C)(C)C,17000
CC1CN(CC(N1NC=C2C3=C(C4=C(C(=C5C(=C4C2=O)C(=O)C(O5)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)N3)C)C)O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C)CC6=CC=C(C=C6)[N+](=O)[O-],20600
C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,9000
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,250
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NCNC(CO)(CO)CO)O.Cl,1100
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5O)O)(C(=O)CO)O)N)O.Cl,2300
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,900
