Antimalarial activity as reduced parasitaemia after 48 hrs against chloroquine, pyrimethamine and proguanil-resistant Plasmodium falciparum W2 infected in type A+ human erythrocytes by flow cytometry
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,700
CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6500
C1CCCC(CC1)NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,5100
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=CC=C3[N+](=O)[O-],3000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=C(C=C3)[N+](=O)[O-],2800
C1COCCN1C2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,14900
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=C(C=CC=C3Cl)Cl,21900
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=C(C=C(C=C3)Cl)Cl,400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=CC=C3F,9000
CC1=CC=CC=C1NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,7000
CC1=CC(=CC=C1)NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,2300
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=C(C=C3)OC(F)(F)F,2900
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=C(C=C3)F,5400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=CC=C3Cl,4600
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=CC=C3C(F)(F)F,7400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=C(C=C3)C(F)(F)F,1600
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=C(C=C3)Cl)Cl,5000
C1=CC=C2C(=C1)C=CC=C2NC3=NC(=NC4=CC=CC=C43)C(Cl)(Cl)Cl,6000
CC1=NC2=CC=CC=C2C(=N1)NC3=CC=CC(=C3)C(F)(F)F,42500
COC1=CC=CC=C1NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,6000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=CC=C3)[N+](=O)[O-],3000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=C(C(=CC=C3)Cl)Cl,14000
CN1CCN(CC1)C2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,5600
C1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,11000
C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,6900
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=CC=C3)Cl,1700
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=CC=C3Br,3000
COC1=CC=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,4000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=C(C=CC(=C3)Cl)Cl,1700
CC1=NC2=CC=CC=C2C(=N1)NC3=C(C=C(C=C3)Cl)Cl,85000
C1CCN(C1)C2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,41500
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=CC=C3)F,4000
CCCCNC1=NC(=NC2=CC=CC=C21)C(Cl)(Cl)Cl,14300
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=C(C=C3)Cl,3000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=CC=C3)Br,2200
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=C(C=C3)Br,1500
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC=CC(=C3)C(F)(F)F,1800
COC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,6000
CC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C(Cl)(Cl)Cl,2400
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=CC(=C3)Cl)Cl,4000
C1=CC=C2C(=C1)C(=NC(=N2)C(Cl)(Cl)Cl)NC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,3000
CC1=NC2=CC=CC=C2C(=N1)NC3=CC(=CC=C3)Cl,55000
