In vitro cytotoxicity against MCF-7 cell lines, treated for 3 days then uptake of neutral red dye was measured
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=CC(=C3O2)F)F)N)F)N,40
COC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100
CCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,130
CC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,26
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)CO)F)N)F)N,62
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)C(=O)O)F)N)F)N,10000
CS(=O)(=O)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,10000
CS(=O)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,2500
CSC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,190
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)Br)F)N)F)N,160
CCCCCC(=O)NCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,340
CC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,13
CCCCCCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,10000
CCCCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,8800
CCCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,1200
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)Cl)F)N)F)N,210
COCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,46
CN(C)CCCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,10000
CN(C)CCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,29
CN(C)CCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,19
CN(C)CCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,10000
CCCCCCOCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,7100
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)CN)F)N)F)N,26
CCOC(=O)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,1400
CN(C)C1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,39
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)N)F)N)F)N,7.7
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)N=[N+]=[N-])F)N)F)N,460
CCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,130
CCCCCCCCCCCCCCCCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,10000
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)F)O)F)N)F)N,10000
CN(C)CCOC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,1400
CN(C)CC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,72
C[N+](C)(C)CC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F.[I-],3100
CN(C)CC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,26
CCCCCCCCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,100
CCCCCC(=O)OCC1=C(C(=C2C(=O)C=C(OC2=C1F)C3=CC(=C(C=C3)N)F)N)F,160
