Cytotoxicity determined in (african green monkey kidney) Vero cells, expressed as IC50
C1C(OC(C1(F)F)CO)N2C=CC(=NC2=O)N,100000
C1C(OC(C1(F)F)CO)N2C=CC(=NC2=O)N,100000
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)(F)F,100000
C1C(OC(C1(F)F)CO)N2C=CC(=O)NC2=O,100000
C1C(OC(C1(F)F)CO)N2C=CC(=O)NC2=O,100000
C1=CN(C(=O)N=C1N)C2C=C(C(O2)CO)F,100000
C1=C(C(OC1N2C=C(C(=NC2=O)N)F)CO)F,100000
CC1=CN(C(=O)NC1=O)C2C=C(C(O2)CO)F,100000
CC1=CN(C(=O)NC1=O)C2C=C(C(O2)CO)F,100000
C1=CN(C(=O)NC1=O)C2C=C(C(O2)CO)F,100000
C1C(OC(C1(F)F)CO)N2C=NC3=C2N=CN=C3N,100000
C1C(OC(C1(F)F)CO)N2C=NC3=C2N=CN=C3N,100000
C1C(OC(C1(F)F)CO)N2C=NC3=C2NC=NC3=O,100000
C1C(OC(C1(F)F)CO)N2C=NC3=C2NC=NC3=O,100000
C1=C(C(OC1N2C=NC3=C2N=CN=C3N)CO)F,100000
C1C(OC(C1(F)F)CO)N2C=NC3=C2NC(=NC3=O)N,100000
C1C(OC(C1(F)F)CO)N2C=NC3=C2NC(=NC3=O)N,100000
C1=C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)F,36500
C1=C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)F,100000
C1C(OC(C1(F)F)CO)N2C=C(C(=NC2=O)N)F,100000
C1C(OC(C1(F)F)CO)N2C=C(C(=NC2=O)N)F,100000
C1=C(C(OC1N2C=NC3=C2N=CN=C3N)CO)F,100000
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)(F)F,100000
C1=C(C(OC1N2C=NC3=C2NC=NC3=O)CO)F,100000
C1=CN(C(=O)NC1=O)C2C=C(C(O2)CO)F,100000
C1=C(C(OC1N2C=C(C(=NC2=O)N)F)CO)F,100000
C1=CN(C(=O)N=C1N)C2C=C(C(O2)CO)F,100000
