Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O,21
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,3.1
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)N=CC=C4)CC(=O)O,10
COC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)OC,700
COC1=C2C(=CC=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,100
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,10
COC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,230
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)C(F)(F)F)C(F)(F)F)CC(=O)O,1400
COC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,28
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)Cl)CC(=O)O,94
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)F)CC(=O)O,17
COC1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,26
CC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,27
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,420
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=C(S3)C=CC5=CC=CC=C54,42
