NOVARTIS: Antimalarial liver stage activity measured as reduction in Plasmodium yoelii schizont area in HepG2-A16-CD81 cells by immuno-fluorescence, and median schizont size at 10uM compound concentration
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,2.15
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,165.7
COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],548
CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,7.49
C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,225.1
CN1CCN(CC1)C2=CC=C(C=C2)NC3=C4C=CC=CC4=NC5=CC=CC=C53,547
CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,78.1
CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],566
C1=CC=C(C=C1)CN2C=NC3=C2C(=NC=N3)Cl,10000
CCOC(=O)C1=CNC2=C(C1=O)C=C(C=C2)C(C)C,352
C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)Br)NCC4=CC=CO4,163.3
COC1=CC2=C(C=C1)NC3=CC=CC=C3C2=O,134.6
CCN(CC)CCCNC1=NC2=CC(=C(C=C2C3=NC(=NN31)C4=CC=CC=C4)OC)OC,327
C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,67.5
C1CN(CCN(C1)C(=S)NC2=C(C=C(C=C2)F)Br)C3=NC=C(C=C3)[N+](=O)[O-],4620
CC1=CC=C(C=C1)C2=C(C3=NC4=C(CCCC4)C(=O)N3N2)C,11.27
C1=CC=NC(=C1)NC2=NC3=C(C=CC=C3O)C=C2,141.5
CC1=CC2=C(C=C1)NC(=C(C2=O)Br)C,252.5
CC1=NC2=C(C=C(C=C2)OC)C(=C1)NC3=CC(=C(C=C3)Cl)Cl,438
CCOC1=CC=C(C=C1)N2C(=NC(=NC2(C)C)N)N.Cl,46.8
CN1C(=C(C(=N1)C(F)(F)F)C2=CC=C(C=C2)OC)NC(=O)NC3=C(C=C(C=C3)F)F,3450
C1=CC=C2C(=C1)C3=C(C2=O)C(SC4=CC=CC=C4N3)C5=CC=CS5,90.4
COC1=CC=CC=C1CNC(=O)C2=NN(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)Cl,10000
CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC(=CC(=C4)OC)OC)C(=C2)C,3740
C1=CC=NC(=C1)C2=CSC(=N2)NC3=NC4=C(S3)C=C(C=C4)F,43.8
