DNDI: Cytotoxicity against L929 mouse fibroblasts, 72 hour.
C1CCC(CC1)N=C(C2=CSC=C2)NO,10
CC(C)COC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN(C)C,10
C1CNCC1NC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,1.39
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN3C=CN=C3,0.66
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3CCCC3,1.38
CC(C)CC(C1=NC(=C(O1)N2CCOCC2)C3=CC=CC=C3)NCC4=CC=C(C=C4)C(F)(F)F,10
CCCCCC(C)NCC1=CC(=NN1C)C2=CC=CC=C2,12.69
C1CCCC(CC1)NCC2=COC(=N2)C3=C(C=CS3)Cl,11.84
C1CC1C(C2=NC(=C(O2)N3CCOCC3)C4=CC=CC=C4)NCCCN5C=CN=C5,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN(CC)CC,0.89
C1CCCC(CC1)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,3.43
CCOC1=CC=C(C=C1)C2=NC(=CO2)CCl,25.91
CCOCCCNC(CC(C)C)C1=NC(=C(O1)N2CCOCC2)C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=NC(=C(O2)N)C#N,10
CCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3C4CC5CC(C4)CC3C5,3.13
CC1(C2CCC(C1C2)CNCC3=COC(=N3)C4=CC=C(C=C4)Cl)C,3.52
CCN(CC)CCCNC1=CC(=NC2=CC(=NN21)C3=CC(=CC=C3)F)C4=CC=CC=C4,2.51
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC(=O)C3=CC=CC=C3,1.74
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=C(C=C3)OC,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CN3CCN(CC3)C(=O)OC(C)(C)C,10
CC(C)CNC(CCC1=CC=CC=C1)C2=NC(=C(O2)N3CCCCC3)CC4=CC=CC=C4,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=CC=C3,18.07
CC1=NC2=CC(=NN2C(=C1)NCCN(C)C)C3=CC(=CC=C3)F,10
CC1=CC(=CC=C1)N=C(C2=CC=C(C=C2)OC)NO,10
CC(C)(C)C1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,3.13
CCCC(CCC)NCC1=COC(=N1)C2=CC=C(C=C2)Cl,5.72
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,2.07
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CN3CCN(CC3)C,3.75
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC(C)(C)CN,1.81
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)CC3=CC=CC=C3)NCC4=CC=CC=C4OC,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=C(C=CC=C3OC)OC,1.62
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC(CC(C3)(C)C)C,3.13
C1C(=O)C(N(C1=O)C(=O)OCC2=CC=CC=C2)COCC3=CC=CC=C3,10
C1=CC=C(C=C1)C2=NC(=CO2)C(=O)O,50
CC(C)(C)CNCC1=COC(=N1)C2=CC=C(C=C2)OCC(C)(C)C,1.35
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=CC=C(C=C4)OC(C)C,1.9
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2OC(F)(F)F,3.23
CCCCCC(C)NCC1=C(OC(=N1)C2=CC(=CC=C2)C)C,10
C1COCCN1CCCNC2=CC(=NC3=CC(=NN32)C4=CC(=CC=C4)F)C5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC(C)(C)C,0.65
C1CCCC(CC1)NCC2=COC(=N2)C3=CC=C(C=C3)C4=CC=CC=C4,3.13
CCC1=CC(=CC=C1)NS(=O)(=O)C2=CC(=C(C=C2)OC)OC,10
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=CC=C(C=C4)Br,3.13
CC1=NC2=CC(=NN2C(=C1)NCCCN(C)C)C3=CC(=CC=C3)F,10
CC1=NC(=C(C=C1)C(=NC2=CC(=CC=C2)F)NO)OC3=C(C=CC=C3F)F,10
CCCCCC(C)NCC1=NOC(=N1)C2=CC=CC=C2,30.71
CCCCCC(C)NCC1=CSC(=N1)C2=CC=CC=C2,4.45
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)C3=CC=CC=C3,3.32
C1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=CC=C(C=C3)Cl)NO,10
CC(C)(C)C1=CC=C(C=C1)C2=NC(=CO2)CNCC3=C(C=CC=C3OC)OC,2.07
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN(C)C,1.4
COC1=CC=C(C=C1)C(=NC2=CC=CC(=C2)C(F)(F)F)NO,8.11
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCCC3=CC=CC=C3,0.72
CCCCCC(C)OCC1=COC(=N1)C2=CC=CC=C2,27.66
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCC3CCCN3C,4.21
C1CC1C(C2=NC(=C(O2)N3CCOCC3)CC4=CC=CC=C4)NCC5=CC=C(C=C5)C(F)(F)F,10
CCCCC1=CC=C(C=C1)C2=NC(=C(O2)C(=O)OC)C,10
C1CCC(CC1)CN=C(C2=CC=CC=C2C3=CC=CC=C3)NO,2.72
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)Cl,4.88
COC1=CC=CC=C1CNC(C2CC2)C3=NC(=C(O3)N4CCOCC4)C5=CC=CC=C5,10
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C3=C(OC(=N3)C4=CC=CC=C4)N,5.23
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCNC(=O)OC(C)(C)C,1.47
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN3CCCCC3,6.2
CCCCCC(C)NCC1=CC=C(S1)C2=CC=CC=C2,7.16
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,0.79
CCCCCC(C)NCC1=COC(=C2C=CC=CC2=O)N1,7.32
C1=CC=C(C=C1)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,10.52
CCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC(CC(C3)(C)C)C,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CN3C(=O)C4=CC=CC=C4C3=O,10
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC(CC(C3)(C)C)C,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)CCC,2.03
C1COCCN1CCNC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)C(C)C,1.33
CC1=CC=C(C=C1)OC2=CC=CC=C2C(=NC3CCCCC3)NO,4.06
CC1=NC2=CC(=NN2C(=C1)NCCCN3CCCC3=O)C4=CC(=CC=C4)F,10
COC(=O)C1=C(C=CS1)NC(=O)N,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC(C)(C)CN(C)C,4.92
CC(C)(C)OC(=O)N1CCC(CC1)NC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
CCC(C)OC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN(C)C,10
CC1=NC2=CC(=NN2C(=C1)N3CCNCC3)C4=CC(=CC=C4)F,9.09
CCC1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3)NO,10
CC(C)OC1=CC=C(C=C1)C2=NC(=CO2)CNCC3CCC4CC3C4(C)C,1.36
CCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,3.13
COC1=CC=C(C=C1)C(=NC2=CC=CC(=C2)C3=CC=CC=C3)NO,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3C4CC5CC(C4)CC3C5,6.6
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)C,7.13
CCCCCC(C)NCC1=COC(=N1)C2CCCCC2,10
CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CNCCC3CCCN3C,10
CC(C)C1=CC=C(C=C1)C2=NC(=CO2)CNCCCN(C)C,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C3=CC4=CC=CC=C4C=C3,10
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3C4CC5CC(C4)CC3C5,3.13
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCC,4.29
CN1CC(=CC1=O)OC(=O)C2=CC=C(C=C2)OC,10
COC1=CC=C(C=C1)C(=NC2=CC=C(C=C2)F)NO,10
C1CC2CC1CC2NCC3=COC(=N3)C4=CC=C(C=C4)Cl,3.47
COC1=CC=CC=C1OC2=C(C=CC=N2)C(=NO)N,10
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNCC(C)(C)C,1.8
CCN(CC)CCCNC1=CC(=NC2=CC(=NN21)C3=CC=C(C=C3)F)C4=CC=CC=C4,3.05
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)OCCCC)OC,1.48
C[N+]1(CCN(CC1)C2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5)C,10
C1CN(CCN1)C2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,0.73
C1C2CC3CC1CC(C2)(C3)NCC4=COC(=N4)C5=CC=C(C=C5)Cl,37.6
CC1=CC=C(C=C1)CNC(C2CC2)C3=NC(=C(O3)N4CCCCC4)C5=CC=CC=C5,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CN3CCOCC3,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CCC3C4,4.62
CCCCCCNCC1=COC(=N1)C2=CC=C(C=C2)CCCC,1.15
C1CCN(C1)CCNC2=CC(=NC3=CC(=NN32)C4=CC(=CC=C4)F)C5=CC=CC=C5,1.54
