Concentration required to inhibit the human liver recombinant fructose-1,6-bisphosphatase.
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,1300
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC,1000
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,800
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OCC,1700
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC,290
C1=CC=C2C=C3C(=CC2=C1)C(=NC=N3)NC4=CC(=CC=C4)Br,7500
C1=CC(=CC(=C1)Br)NC2=NC=NC3=CC4=C(C=C32)NC=N4,4000
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)C#C)OC,250
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)F)OCC,9200
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OCC,1600
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCC,530
CCOC1=C(C=C2C(=C1)C(=NC(=N2)CC(C)C)NC3=CC(=CC=C3)Br)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3)NC4=CC(=CC=C4)Br)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC(=N2)CC3=CC=CC=C3)NC4=CC(=CC=C4)Br)OCC,10000
CCN(CC)C1=NC2=CC(=C(C=C2C(=N1)NC3=CC(=CC=C3)Br)OC)OC,10000
COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OCCOC,10000
COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC,5500
C1=CC(=CC(=C1)Br)NC2=NC=NC3=CC(=C(C=C32)N)Cl,11900
COCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,2900
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OC,900
CCCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,10000
CC(C)OC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,10000
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)Cl)Cl)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)C)Cl)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC=C3)OCC,10000
C1=CC(=CC(=C1)Br)NC2=NC=NC3=C2C=CC(=C3)C(=O)O,10000
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)I)OCC,2100
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCC,2400
CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#N)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC(=N2)CS(=O)(=O)C)NC3=CC(=CC=C3)Br)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC(=N2)CN3CCOCC3)NC4=CC(=CC=C4)Br)OCC,10000
CCN(CC)CC1=NC2=CC(=C(C=C2C(=N1)NC3=CC(=CC=C3)Br)OCC)OCC,10000
CCOC1=C(C=C2C(=C1)C(=NC(=N2)CCl)NC3=CC(=CC=C3)Br)OCC,10000
CC1=NC2=CC(=C(C=C2C(=N1)NC3=CC(=CC=C3)Br)OC)OC,4500
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=CC=C3)Br)[N+](=O)[O-],10000
CCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=CC=C3)Br)[N+](=O)[O-],3600
C1=CC(=CC(=C1)Br)NC2=NC=NC3=CC(=C(C=C32)[N+](=O)[O-])Cl,10000
