Inhibition of human factor 10a using N-Z-D-Arg-Gly-Arg-pNA, S-2765 chromogenic substrate
C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,8.52
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,3.41
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,57.81
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,20.22
CC(=O)N(C)C1=CC2=C(C=C1)N3C(CO2)C(OC3=O)CNC(=O)C4=CC=C(S4)Cl,87.17
C1COC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,730
C1CN(C(=O)CC12OCCO2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,2510
COC1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,590
COC1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,1860
C1CN(C(=O)CC1O)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,130
C1CN(C(=O)CC1F)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,46.64
C1CN(C(=O)CC1O)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,1220
C1CN(C(=O)CC1F)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,40.56
C1CN(C(=O)CN1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,190
CN1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,2210
CCN1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,15770
C1CN(C(=O)CN1CC2=CC=CC=C2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,11360
CC(=O)N1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,74.77
CS(=O)(=O)N1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,4180
C1CN(C(=O)CN1S(=O)(=O)C2=CC=CC=C2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,5530
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,37.65
C1C2C(OC(=O)N2C3=C(O1)C=C(C=C3)C4=CC=CC=C4S(=O)(=O)N)CNC(=O)C5=CC=C(S5)Cl,60.56
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,160
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=NC=C(C=C5)Cl,710
COC1=CC=C(C=C1)C(=O)NCC2C3COC4=C(N3C(=O)O2)C=CC(=C4)N5CCOCC5=O,4780
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC(=C(S5)Cl)Cl,8080
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CN=C(S5)Cl,7060
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C(=CC=C6)Cl,100000
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=C(C=C6)Cl,1750
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=CC(=C6)Cl,25880
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=CC=C6Cl,100000
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=C(C6=C(S5)C=C(C=C6)Cl)Cl,100000
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)CSCCCl,100000
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(Cl)Cl,52690
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)NC5=CC=C(S5)Cl,88.53
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)NC5=CC=C(C=C5)Cl,32.08
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(=O)NC5=CC=C(S5)Cl,560
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(=O)NC5=NC=C(C=C5)Cl,1210
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(=O)NC5=CC=C(C=C5)Cl,310
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)C(=O)NC5=CC=C(S5)Cl,100000
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)C(=O)NC5=NC=C(C=C5)Cl,100000
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,2.51
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,4.89
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,45.22
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3=O)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,63.96
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CS3(=O)=O)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,17.37
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CS3(=O)=O)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,50.52
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,20.87
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CS3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,1610
C1CC2=C(C=CC(=C2)N3CCOCC3=O)N4C1C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,4.71
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CC3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,6.59
CC(C)(C)OC(=O)N1CC2C(OC(=O)N2C3=C1C=C(C=C3)N4CCCCC4=O)CNC(=O)C5=CC=C(S5)Cl,8180
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CN3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,5.06
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CN3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,15.2
