Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,1.1
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=C(C=C(C=C5)F)F)F,5.3
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5C(F)(F)F)F,43
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,32
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=C(C=C(C=C5)F)F)F,4.4
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,56
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,29
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,18
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5F)F,3.9
COC1=CC=CC(=C1)C=NNC(=O)NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OCCCN5CCCCC5)OC)F,49
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,34
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5C#N)F,24
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)[N+](=O)[O-])F,35
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5[N+](=O)[O-])F,12
CC1=CC(=C(C(=C1)C)C=NNC(=O)NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OCCCN5CCCCC5)OC)F)C,190
CC(C)C=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F,940
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NNCC5=C(C=C(C=C5)F)F)F,120
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,22
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=C(C=C(C=C5)F)F)F,1.4
CCC(=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F)C5=CC=CC=C5,46
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,43
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)OC(F)(F)F)F,110
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,21
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC(=C(C=C5)F)F)F,26
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5F)F,13
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC(=CC=C5)[N+](=O)[O-])F,22
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CN=CC=C5)F,61
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NNC=C5C=CC=N5)F,89
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)C(F)(F)F)F,95
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CO5)F,91
CC(=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F)C5=CC=CC=C5,38
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=CC=CC=C5[N+](=O)[O-])F,4.4
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=CC=CO5)F,120
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,19
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,26
