Cytotoxic activity against A 549 human lung tumor cell line, using sulforhodamine B (SRB) assay.
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3Cl.Cl,300000
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,8570
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=C(C=C4)C)C.Cl,26940
CC(=O)NC1CCC(CC1)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,145300
CC1=CC=CC(=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,102930
CCN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,55350
CC1=CC=C(C=C1)C2=NC(=C3C=CC(=CC3=C2)C)NCCN.Cl,300000
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC=CC=C4.Cl,122110
CC1=CC2=CC(=NC(=C2C=C1)NCC3=CC=CC=C3)C4=CC(=CC=C4)C.Cl,107940
CN1CCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,13560
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC5=CC=CC=C54.Cl,520
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,10840
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,168120
C1CC(CCC1N)NC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,7950
C1=CC=C(C=C1)CNC2=NC(=CC3=CC=CC=C32)C4=CC=CC=C4.Cl,176750
C1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N.Cl,2730
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Br.Cl,6040
CN1CCCN(CC1)C2=NC(=CC3=CC=CC=C32)C4=CC=C(C=C4)Cl.Cl,11770
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)N.Cl,3140
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4)C.Cl,18160
CC1=CC2=CC(=NC(=C2C=C1)N3CCCN(CC3)C)C4=CC=CC=C4C.Cl,440
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3C.Cl,300000
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4Cl)C.Cl,13360
CC1=CC=CC=C1C2=CC3=CC=CC=C3C(=N2)NC4CCC(CC4)N.Cl,10240
CC1=CC2=CC(=NC(=C2C=C1)N)C3=CC=CC=C3C.Cl,170
CC1=CC2=CC(=NC(=C2C=C1)NCCN)C3=CC=CC=C3.Cl,300000
CC1=CC=C(C=C1)C2=CC3=CC=CC=C3C(=N2)N4CCCN(CC4)C.Cl,1220
CCN1CCN(CC1)C2=C3C=CC(=CC3=CC(=N2)C4=CC=CC=C4C)C.Cl,20980
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,970
