Inhibition of recombinant human 5-LO expressed in Escherichia coli BL21 using arachidonic acid as substrate assessed as formation of all-trans isomer of LTB4, 5-H(P)ETE preincubated for 5 to 10 mins followed by substrate addition measured after 10 mins by HPLC analysis
CC(C)C(C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)C(C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,15000
CCCCCC(=O)C1=C(C(=C(C(=C1O)C(C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)C(C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)C(C)C)O,7500
CCCCCC(=O)C1=C(C(=C(C(=C1O)C(C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)C(CC(C)C)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)O,6600
CC(C)C(C1=C(C(=C(C(=C1O)C(=O)C2=CC=CC=C2)O)C(C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)C(C)C)O)C4=C(C(C(=O)C(C4=O)(C)C)(C)C)O,10000
CCCCCC(=O)C1=C(C(=C(C(=C1O)C(CC(C)C)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)O)C(CC(C)C)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)O,3500
CC(C)CC(C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)C(CC(C)C)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,4800
CC(C)CC(C1=C(C(=C(C(=C1O)C(=O)CC(C)C)O)C(CC(C)C)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,2700
CC(C)C(C1=C(C=C(C(=C1O)C(=O)C(C)C)O)O)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O,10000
CCCCCC(=O)C1=C(C(=C(C=C1O)O)C(C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O,10000
CC(C)CC(C1=C(C=C(C(=C1O)C(=O)CC(C)C)O)O)C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O,4600
CC(C)C1C2=C(C=C(C(=C2OC3=C1C(=O)C(C(=O)C3(C)C)(C)C)C(=O)C(C)C)O)O,6200
CCCCCC(=O)C1=C2C(=C(C=C1O)O)C(C3=C(O2)C(C(=O)C(C3=O)(C)C)(C)C)C(C)C,2500
CC(C)C1C2=C(C(=C(C(=C2OC3=C1C(=O)C(C(=O)C3(C)C)(C)C)C(=O)C(C)C)O)C(C4=C(C(C(=O)C(C4=O)(C)C)(C)C)O)C(C)C)O,10000
CCCCCC(=O)C1=C2C(=C(C(=C1O)C(C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O)C(C)C)O)C(C4=C(O2)C(C(=O)C(C4=O)(C)C)(C)C)C(C)C,10000
CC(C)C1C2=C(C3=C(C(=C2OC4=C1C(=O)C(C(=O)C4(C)C)(C)C)C(=O)C(C)C)OC5=C(C3C(C)C)C(=O)C(C(=O)C5(C)C)(C)C)O,10000
CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O)C(C4=C(CC(CC4=O)(C)C)O)C(C)C)O,2800
CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(=O)C)O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O,10000
CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(=O)C(C)C)O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O,25000
CCCCCC(=O)C1=C(C(=C(C(=C1O)C(C2=C(CC(CC2=O)(C)C)O)C(C)C)O)C(C3=C(CC(CC3=O)(C)C)O)C(C)C)O,10000
CC(C)C(C1=C(CC(CC1=O)(C)C)O)C2=C(C(=C(C(=C2O)C(=O)C3=CC=CC=C3)O)C(C4=C(CC(CC4=O)(C)C)O)C(C)C)O,8600
CCCCCC(=O)C1=C(C(=C(C(=C1O)C(CC(C)C)C2=C(CC(CC2=O)(C)C)O)O)C(CC(C)C)C3=C(CC(CC3=O)(C)C)O)O,2900
CC(C)C(C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)C(C2=C(C3=CC=CC=C3C2=O)O)C(C)C)O)C4=C(C5=CC=CC=C5C4=O)O,20000
