Antiproliferative activity against human p53, pRB mutant and estrogen receptor deficient MDA-MB-231 cells after 48 hrs by SRB assay
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,22520
C1CCN(CC1)CCCNC2=C3C=CC(=CC3=NC=C2)Cl,37950
CCN(CC)CCCNC1=C2C=CC(=CC2=NC=C1)Cl,27810
CCN(CC)CCCNC1=C2C=CC(=CC2=NC=C1)C(F)(F)F,57050
C1COCCN1CCCNC2=C3C=CC(=CC3=NC=C2)Cl,40250
C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NCCCN3C4=C(C=CC(=C4)Cl)C(=O)C3=O,17380
CN1CCN(CC1)CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F,43290
C1CN(CCN1CCCNC2=C3C=CC(=CC3=NC=C2)Cl)C4=C5C=CC(=CC5=NC=C4)Cl,7520
C1=CC2=C(C(=C1)Br)C(=O)C(=O)N2CCCNC3=C4C=CC(=CC4=NC=C3)Cl,16830
C1CCN(C1)CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F,70390
C1CN(CCN1CCCNC2=C3C=CC(=CC3=NC=C2)Cl)C4=C5C=CC(=CC5=NC=C4)C(F)(F)F,6330
C1=CC2=C(C(=C1)Cl)C(=O)C(=O)N2CCCNC3=C4C=CC(=CC4=NC=C3)Cl,55580
C1CN(CCN1CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)C4=CC=CC=C4,9900
C1=CC2=C(C(=C1)Br)C(=O)C(=O)N2CCCNC3=C4C=CC(=CC4=NC=C3)C(F)(F)F,49370
C1CN(CCN1CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)C4=C5C=CC(=CC5=NC=C4)C(F)(F)F,25720
C1=CC2=C(C=CN=C2C=C1Cl)NCCCN3C4=C(C=CC(=C4)Br)C(=O)C3=O,35040
C1=CC2=C(C(=C1)Cl)C(=O)C(=O)N2CCCNC3=C4C=CC(=CC4=NC=C3)C(F)(F)F,50240
CN1CCN(CC1)CCCNC2=C3C=CC(=CC3=NC=C2)Cl,19130
C1CCN(C1)CCCNC2=C3C=CC(=CC3=NC=C2)Cl,29780
C1CN(CCN1CCCNC2=C3C=CC(=CC3=NC=C2)Cl)C4=CC=CC=C4,15880
C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NCCCN3C4=C(C=CC(=C4)Br)C(=O)C3=O,18880
C1CCN(CC1)CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F,38620
C1COCCN1CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F,79760
C1=CC2=C(C=C1Cl)N(C(=O)C2=O)CCCNC3=C4C=CC(=CC4=NC=C3)Cl,15810
C1=CC=C2C(=C1)C(=O)C(=O)N2CCCNC3=C4C=CC(=CC4=NC=C3)Cl,47570
C1CN(CCN1CCCNC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)C4=C5C=CC(=CC5=NC=C4)Cl,4310
C1=CC=C2C(=C1)C(=O)C(=O)N2CCCNC3=C4C=CC(=CC4=NC=C3)C(F)(F)F,54130
