In vitro antiproliferative activity against L1210 cell line, activity expressed as growth inhibition
COC1=CC=C(C=C1)C2=CC3=C(S2)C(=O)C4=CC=CN43,9400
CN(C)CCCON=C1C2=CC=CN2C3=C1SC=C3C4=CC=C(C=C4)OC,3900
C1=CN2C3=C(C(=O)C2=C1)SC=C3,85000
COC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=NO,34300
COC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3O,4900
COC1=C(C=C(C=C1)C2=CNC3=C2N4C=CC=C4C3=O)OC,11800
COC1=C(C=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O)O,15
COC1=CC=C(C=C1)C2=C3C(=CC=C2)C(=O)C4=CC=CN43,3000
C1=CC(=C2C(=C1)C(=O)C3=CC=CN32)C4=CC=CO4,27600
COC1=CC=CC(=C1)C2=CSC3=C2N4C=CC=C4C3=O,5200
COC1=C(C=C(C=C1)C2=C3C(=CC=C2)C(=O)C4=CC=CN43)OC,72200
COC1=C(C=C(C=C1)C2CC(=O)C3=CC=CN23)O,25000
C1=CN2C(=C1)C(=O)C3=C2C(=CS3)C4=C(C(=C(C=C4)O)O)O,12000
CC(C)OC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O,12200
CCCOC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O,28100
CCOC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O,430
COC1=C(C=C(C=C1)C2=COC3=C2N4C=CC=C4C3=O)OC,24200
C1=CC(=C2C(=C1)C(=O)C3=CC=CN32)C4=CC=CS4,71900
C1=CN2C(=C1)C(=O)C3=C2C(=CS3)C4=CC(=C(C=C4)O)O,280
C1=CN2C(=C1)C(=O)NC3=C2C(=CS3)C4=CC(=C(C=C4)O)O,8800
COC1=C(C=C(C=C1)C2=CSC3=C2N4C=CC=C4C(=O)N3)OC,100000
CCCCOC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O,29600
COC1=CC=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O,190
CC1=CSC2=C1N3C=CC=C3C2=O,100000
COC1=CC=CC=C1C2=CSC3=C2N4C=CC=C4C3=O,18900
COC1=C(C=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O)OC,11700
COC1=C(C=CC(=C1)C2=CSC3=C2N4C=CC=C4C3=O)OCC5=CC=CC=C5,24100
COC1=C(C=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O)OCC5=CC=CC=C5,5400
C1OC2=C(O1)C=C(C=C2)C3=CSC4=C3N5C=CC=C5C4=O,4200
C1=CC=C(C(=C1)C2=CSC3=C2N4C=CC=C4C3=O)O,3700
COC1=C(C=CC(=C1)C2=CSC3=C2N4C=CC=C4C3=O)O,8000
COC1=C(C(=C(C=C1)C2=CSC3=C2N4C=CC=C4C3=O)OC)OC,36400
C1=CN2C(=C1)C(=O)C3=C2C(=CS3)C4=CC=C(C=C4)O,30100
C1=CC(=CC(=C1)O)C2=CSC3=C2N4C=CC=C4C3=O,29000
