In vitro inhibition of tumor cell growth of SF-268, CNS tumor cell line
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CNC5=CC=CC=C54,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,11220.2
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CO4,41686.9
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CN4,100000
COC1=CC(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,63095.7
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)O,416.87
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC)OC,100000
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,50118.7
CC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,2187.76
COC1=CC(=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,707.95
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=N3,23988.3
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,29512.1
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,741.31
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=C(C=C4)OC5=CC=CC=C5,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC(=CC=C3)OC,229.09
COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,8317.64
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,602.56
COC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,36307.8
COC1=CC2=C(C=C1)C3=C(CC2)C(=O)C4=CC5=C(C=C4N3)OCO5,100000
C1CC2=C(C3=CC=CC=C31)NC4=CC5=C(C=C4C2=O)OCO5,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C=CC4=CC=CC=C4,7079.46
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,5248.07
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,23442.3
C1CC2=CC=CC=C2C3=C(C1)C(=O)C4=CC5=C(C=C4N3)OCO5,100000
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,75857.8
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4Cl,691.83
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4,30.2
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,6760.83
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=C(C(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC)OC,100000
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,32359.4
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4F,2290.87
C1OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC5=C(C=C4N3)OCO5,46773.5
