In vitro inhibition of tumor cell growth of NCI-H226, a non small-cell lung cancer cell line
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,6309.57
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CO4,24547.1
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CN4,35481.3
COC1=CC(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,93325.4
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)O,208.93
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,21379.6
CC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,1584.89
COC1=CC(=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,218.78
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=N3,36307.8
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,316.23
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC(=CC=C3)OC,346.74
COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,6309.57
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,371.54
COC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,28840.3
COC1=CC=CC=C1C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,22908.7
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C=CC4=CC=CC=C4,2884.03
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,1862.09
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,46773.5
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,29512.1
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4Cl,263.03
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4,316.23
COC1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,199.53
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,2818.38
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4F,446.68
C1OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC5=C(C=C4N3)OCO5,39810.7
