Cytotoxic effect in human tumor cell lines, tested by the National Cancer Institute
COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,28.84
COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O,6.61
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,57.54
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,6165.95
COC1=CC=CC(=C1)C2=CC(=O)C3=C(N2)N=CC=C3,134.9
CC1=C2C(=O)C=C(NC2=NC=C1)C3=CC=C(C=C3)Cl,5128.61
C1=CC(=CC=C1C2=CC(=O)C3=CC(=CN=C3N2)Cl)F,21877.6
CC1=CN=C2C(=C1)C(=O)C=C(N2)C3=CC=C(C=C3)OC,6165.95
CC1=CN=C2C(=C1)C(=O)C=C(N2)C3=CC=CC=C3OC,31622.8
CC1=NC2=C(C=C1)C(=O)C=C(N2)C3=CC=C(C=C3)Cl,4897.79
CC1=C2C(=O)C=C(NC2=NC=C1)C3=CC=C(C=C3)OC,12882.5
CC1=C2C(=O)C=C(NC2=NC=C1)C3=CC=C(C=C3)F,38018.9
CC1=NC2=C(C=C1)C(=O)C=C(N2)C3=CC(=CC=C3)OC,57.54
CC1=CN=C2C(=C1)C(=O)C=C(N2)C3=CC=C(C=C3)Cl,3715.35
CC1=CC(=NC2=C1C(=O)C=C(N2)C3=CC(=CC=C3)OC)C,645.65
CC1=CN=C2C(=C1)C(=O)C=C(N2)C3=CC(=CC=C3)OC,95.5
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)N=CC=C3,38018.9
CC1=CC(=NC2=C1C(=O)C=C(N2)C3=CC=CC=C3OC)C,57544
CC1=C2C(=O)C=C(NC2=NC=C1)C3=CC(=CC=C3)OC,58.88
CC1=CC(=NC2=C1C(=O)C=C(N2)C3=CC=C(C=C3)OC)C,33113.1
CC1=NC2=C(C=C1)C(=O)C=C(N2)C3=CC=C(C=C3)OC,91201.1
COC1=CC=CC=C1C2=CC(=O)C3=C(N2)N=CC=C3,40738
CC1=CC(=NC2=C1C(=O)C=C(N2)C3=CC=C(C=C3)F)C,40738
CC1=CN=C2C(=C1)C(=O)C=C(N2)C3=CC=C(C=C3)F,26302.7
C1=CC2=C(NC(=CC2=O)C3=CC=C(C=C3)F)N=C1,45708.8
CC1=C2C(=O)C=C(NC2=NC=C1)C3=CC=CC=C3OC,2818.38
C1=CC2=C(NC(=CC2=O)C3=CC=C(C=C3)Cl)N=C1,38904.5
CC1=NC2=C(C=C1)C(=O)C=C(N2)C3=CC=CC=C3OC,79432.8
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=CN=C3N2)Cl,97.72
CC1=CC(=NC2=C1C(=O)C=C(N2)C3=CC=C(C=C3)Cl)C,19498.5
CC1=NC2=C(C=C1)C(=O)C=C(N2)C3=CC=C(C=C3)F,32359.4
