In vitro inhibition of tumor cell growth of HCT116, colon cancer cell line
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CNC5=CC=CC=C54,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,4786.3
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CO4,39810.7
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CN4,29512.1
COC1=CC(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,40738
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)O,208.93
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC)OC,100000
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,58884.4
CC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,676.08
COC1=CC(=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,316.23
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=N3,33884.4
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,43651.6
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,371.54
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=C(C=C4)OC5=CC=CC=C5,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC(=CC=C3)OC,154.88
COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,3235.94
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,194.98
COC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=CC=C1C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,28183.8
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,100000
COC1=CC2=C(C=C1)C3=C(CC2)C(=O)C4=CC5=C(C=C4N3)OCO5,100000
C1CC2=C(C3=CC=CC=C31)NC4=CC5=C(C=C4C2=O)OCO5,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C=CC4=CC=CC=C4,2818.38
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,5011.87
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,26302.7
C1CC2=CC=CC=C2C3=C(C1)C(=O)C4=CC5=C(C=C4N3)OCO5,28183.8
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,58884.4
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4Cl,87.1
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4,70.79
COC1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,173.78
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,5754.4
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=C(C(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC)OC,100000
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,74131
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4F,60.26
C1OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC5=C(C=C4N3)OCO5,38018.9
