In vitro inhibition of tumor cell growth of SF-295, CNS tumor cell line
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CNC5=CC=CC=C54,91201.1
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,3235.94
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CO4,28183.8
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CN4,33884.4
COC1=CC(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,45708.8
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)O,245.47
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC)OC,100000
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,40738
CC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,1905.46
COC1=CC(=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,257.04
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=N3,51286.1
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC=C3F,100000
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,239.88
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=C(C=C4)OC5=CC=CC=C5,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC(=CC=C3)OC,151.36
COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,6606.93
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,204.17
COC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=CC=C1C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,20893
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
COC1=CC2=C(C=C1)C3=C(CC2)C(=O)C4=CC5=C(C=C4N3)OCO5,100000
C1CC2=C(C3=CC=CC=C31)NC4=CC5=C(C=C4C2=O)OCO5,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C=CC4=CC=CC=C4,3019.95
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,1949.84
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,51286.1
C1CC2=CC=CC=C2C3=C(C1)C(=O)C4=CC5=C(C=C4N3)OCO5,19498.5
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,28183.8
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4,190.55
COC1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,91.2
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,2290.87
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=C(C(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC)OC,75857.8
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,32359.4
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4F,54.95
C1OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC5=C(C=C4N3)OCO5,29512.1
