In vitro inhibition of tumor cell growth of DMS114, a non small-cell lung cancer cell line
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CNC5=CC=CC=C54,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,6760.83
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CO4,37153.5
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CN4,32359.4
COC1=CC(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,26302.7
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)O,177.83
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,54954.1
COC1=CC(=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,302
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=N3,22387.2
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC=C3F,100000
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,52480.8
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,407.38
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=C(C=C4)OC5=CC=CC=C5,100000
COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,5011.87
COC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=CC=C1C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,25118.9
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,100000
COC1=CC2=C(C=C1)C3=C(CC2)C(=O)C4=CC5=C(C=C4N3)OCO5,100000
C1CC2=C(C3=CC=CC=C31)NC4=CC5=C(C=C4C2=O)OCO5,100000
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,4786.3
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,13803.8
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,45708.8
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4,117.49
COC1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,239.88
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,5623.41
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=C(C(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC)OC,29512.1
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,83176.4
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4F,512.86
C1OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC5=C(C=C4N3)OCO5,23988.3
