Antitumor activity against mouse S180 cells xenografted in ICR mouse assessed as tumor growth inhibition at 8.9 umol/kg, ip administered 1 day after tumor inoculation qd for 7 days
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,31.93
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,48.22
C1=CC=C(C=C1)COC(=O)C(CCC(=O)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,72.03
CC(C(C(=O)OCC1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N)O,61.25
C1=CC=C(C=C1)COC(=O)C(CC(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,30.68
C1=CC=C(C=C1)CC(C(=O)OCC2=CC=CC=C2)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CNC6=CC=CC=C65)N,56.73
CCC(C)C(C(=O)OCC1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,51.47
C1=CC=C(C=C1)COC(=O)C(CS)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,63.71
C1=CC=C(C=C1)COC(=O)C(CCCCN)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,34.3
C1=CC=C(C=C1)COC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CC6=CNC7=CC=CC=C76)N,19.07
C1=CC=C(C=C1)COC(=O)C(CCCN=C(N)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,47.51
C1=CC=C(C=C1)COC(=O)C(CC(=O)N)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,50.59
CC(C(=O)OCC1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,50.05
C1=CC=C(C=C1)COC(=O)CNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,56.56
C1=CC=C(C=C1)COC(=O)C(CO)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,18.06
C1=CC=C(C=C1)COC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CNC6=CC=CC=C65)N,20.24
CC(C)CC(C(=O)OCC1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,3.29
CC(C)C(C(=O)OCC1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,79.45
C1CC(N(C1)C(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N)C(=O)OCC6=CC=CC=C6,57.98
CSCCC(C(=O)OCC1=CC=CC=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,16.86
C1=CC=C(C=C1)COC(=O)C(CCC(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CNC5=CC=CC=C54)N,55.32
C1=CC=C(C=C1)COC(=O)C(CC2=CN=CN2)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CNC6=CC=CC=C65)N,30.69
