Displacement of [3H]CGP39653 from glutamate recognition site of NMDA receptor in rat brain cortex membrane in presence of glycine antagonist 5,7-dichlorokynurenic acid
C1=CC=C2C(=C1)C=C(N2)C(=O)NCC(C(=O)O)N,158489
C1=CC=C2C(=C1)C=CC=C2C(=O)NCC(C(=O)O)N,100000
CCCC1=C(NC2=CC=CC=C21)C(=O)NCC(C(=O)O)N,158489
C1=CC=C2C(=C1)C=C(S2)C(=O)NCC(C(=O)O)N,100000
C1=CC2=C(C(=C1)Br)C(=CN2)CC(=O)NCC(C(=O)O)N,100000
CCC1=CC=CC=C1C2=CC=CC3=C2C=CC(=C3)C(=O)NCC(C(=O)O)N,31622.8
C1=CC2=C(C=C(N2)C(=O)NCC(C(=O)O)N)C(=C1)Cl,79432.8
CC1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,6309.57
C1=CC=C(C=C1)CC2=CC=CC=C2C3=C4C=C(NC4=CC=C3)C(=O)NCC(C(=O)O)N,3162.28
COC1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,50118.7
CCC1=CC=CC=C1C2=C3C=C(NC3=C(C=C2)Cl)C(=O)NCC(C(=O)O)N,31622.8
C1=CC=C2C(=C1)C=C(O2)C(=O)NCC(C(=O)O)N,100000
C1=CC=C2C(=C1)C=CC(=N2)C(=O)NCC(C(=O)O)N,100000
C1=CC2=C(C=CC(=C2)C(=O)NCC(C(=O)O)N)C(=C1)Br,50118.7
CC(C)C1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,2511.89
CN(C)C1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,79432.8
C1=CC2=C(C=C(N2)C(=O)NCC(C(=O)O)N)C(=C1)Br,19952.6
CCC1=CC=CC=C1C2=C3C=C(SC3=CC=C2)C(=O)NCC(C(=O)O)N,125893
C1=CC(=C2C=C(SC2=C1)C(=O)NCC(C(=O)O)N)C#N,100000
C1=CC(=C2C=C(SC2=C1)C(=O)NCC(C(=O)O)N)C3=C(C=C(C=C3)Cl)Cl,31622.8
C1=CC2=C(C=C(N2)C(=O)NCC(C(=O)O)N)C(=C1)Br,25118.9
C1=CC2=C(C=C(S2)C(=O)NCC(C(=O)O)N)C(=C1)Cl,100000
COC1=CC=CC2=C1C=C(N2)C(=O)NCC(C(=O)O)N,79432.8
CCCC1=C(NC2=CC=CC(=C21)C3=CC=CC=C3CC)C(=O)NCC(C(=O)O)N,5011.87
C1=CC(=C2C(=C1Cl)C=C(N2)C(=O)NCC(C(=O)O)N)Cl,100000
CCC1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,12589.2
CCCC1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,3981.07
C1=CC2=C(C(=C1)Br)C(=C(N2)C(=O)NCC(C(=O)O)N)[N+](=O)[O-],12589.2
C1C2=CC=CC=C2C=C1C(=O)NCC(C(=O)O)N,100000
C1=CC=C2C=C(C=CC2=C1)C(=O)NCC(C(=O)O)N,100000
C1=CC=C(C=C1)C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,19952.6
CCCC1=C(NC2=C1C(=CC=C2)Br)C(=O)NCC(C(=O)O)N,63095.7
C1=CC2=C(C=C(S2)C(=O)NCC(C(=O)O)N)C(=C1)Br,100000
CCC1=CC=CC=C1C2=C3C=C(NC3=CC=C2)C(=O)NCC(C(=O)O)N,3981.07
