Inhibitory potency against human stromelysin, MMP-3
CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,79
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOC2=CC=CC=C2)CC(=O)NO,14
CC(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,12
CC(C)(C)C(C(=O)NCCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,2
CC(C)(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,16
CCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,11
CC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,17
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,6
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCC2=CC=CC=C2)CC(=O)NO,92
CCCC(=O)NCCCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,700
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOCC2=CC=CC=C2)CC(=O)NO,15
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=CC=C2)CC(=O)NO,28
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOCC2=CC=CC=C2)CC(=O)NO,19
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)OC)CC(=O)NO,41
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=C(C=C1)Cl)Cl)CC(=O)NO,62
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC(=C1)OC)CC(=O)NO,65
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=CC=C1)Cl)CC(=O)NO,112
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)F)CC(=O)NO,38
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)Cl)CC(=O)NO,9
CC(C)(C)C(C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)N)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,2
CCCCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,14
CC(C)(C)C(C(=O)NCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,3
CC(C)(C)C(C(=O)NCCC1=CC=CC=N1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,6
CC(C)(C)C(C(=O)NCCC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,5
CC(C)(C)C(C(=O)NCCN1CCCC1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,5
CC(C)(C)C(C(=O)NCCCN1CCOCC1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,2
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCCC2=CC=CC=C2)CC(=O)NO,6
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCO)CC(=O)NO,2200
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCO)CC(=O)NO,430
CCCNC(=O)CCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,360
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)O)CC(=O)NO,10000
CC1=CC(=CC=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,54
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCOCC2=CC=CC=C2)CC(=O)NO,43
