Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])-phenylmethoxy]biphenyl-3-yl}methoxy)phenyl]propanoic acid from human GPR40 expressed in CHO cells after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,25
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,83
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCS(=O)(=O)C.O,38
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,23
CCC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)CC)OCCCS(=O)(=O)C,11
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,36
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(CCS(=O)(=O)CC5)O,24
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=C(N=C(S5)C)C,12
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OCCCS(=O)(=O)C)C,33
CC1=C(C(=C(C(=C1Cl)OCCCS(=O)(=O)C)Cl)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O,12
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,300
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=CC=CC6=NC=CN65,15
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,21
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,270
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,37
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCN5CCCC5=O,31
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OC5CCS(=O)(=O)CC5)C,40
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OC5CCS(=O)(=O)CC5,31
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OCCCS(=O)(=O)C,18
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,32
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,280
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCN(CC5)C.Cl,8.8
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)Cl)OCCCS(=O)(=O)C,19
