Inhibitory effect against protein-tyrosine phosphatase Lar, using p-nitrophenyl phosphate as substrate at pH 5.5.
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,113000
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,400000
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,410000
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,900000
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,360000
CC1=CC=CC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,2e+06
CC1=C(C(=CC=C1)NC(=O)C(=O)O)C(=O)O,2e+06
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,160000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,110000
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,450000
C1=CN=CC(=C1C(=O)O)NC(=O)C(=O)O,2e+06
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,50000
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,165000
CN(C1=CC=CC=C1C(=O)O)C(=O)C(=O)O,2e+06
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,700000
C1=CC(=C(C=C1I)C(=O)O)NC(=O)C(=O)O,420000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,50000
C1=CSC(=C1C(=O)O)NC(=O)C(=O)O,2e+06
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,90000
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,90000
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,550000
CC1=CSC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
