Inhibitory effect against recombinant human protein-tyrosine phosphatase 1B (PTP1B), using p-nitrophenyl phosphate substrate at pH 5.5.
COC1=C(C=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,25000
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,6100
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,12000
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,8100
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,12000
COC1=CC(=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,8000
C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,26000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)O,4500
COC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,9000
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,16000
C1CC2=C(CC1O)SC(=C2C(=O)O)NC(=O)C(=O)O,2000
C1CC2=C(CC1=O)SC(=C2C(=O)O)NC(=O)C(=O)O,1300
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CCC3=CC=CC=C3,270
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=NC4=CC=CC=C4C=C3,1800
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=NC=C3,1100
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=C3,1000
CN1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,1000
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,14000
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CN=CC=C3,900
C1CNCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,290
C1CC2=C(CC1C3OCCO3)SC(=C2C(=O)O)NC(=O)C(=O)O,2200
C1CS(=O)(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,6100
C1CS(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,5100
C1CSCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,8300
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,23000
CC1=C(C(=CC=C1)NC(=O)C(=O)O)C(=O)O,1.7e+06
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,10000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,8000
COC1=CC=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,12000
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,8000
C1=CN=CC(=C1C(=O)O)NC(=O)C(=O)O,160000
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,13000
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,4700
CN(C1=CC=CC=C1C(=O)O)C(=O)C(=O)O,1.1e+06
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,14000
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=N3,1000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,2500
COC1=CC=CC(=C1)CN2CCC3=C(C2)SC(=C3C(=O)O)NC(=O)C(=O)O,700
C1=CSC(=C1C(=O)O)NC(=O)C(=O)O,108000
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,11000
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,13000
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,18000
CC1=CSC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,37000
