Displacement of [3H]1,3-ditolylguanine from sigma 2 receptor in rat liver membrane by solid scintillation analysis
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,78
CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,42
CC1=C2CC3CN(C(C2=NC4=CC=CC=C14)CN3CC=C)CC5=CC=C(C=C5)OC,5610
CC1=C2CC3CN(C(C2=NC4=CC=CC=C14)CN3CC=C)CC5=CC=C(C=C5)OC,57200
CC1=C2CC3CN(C(C2=NC4=CC=CC=C14)CN3CC=C)CC5=C(C=C(C=C5)OC)OC,8390
CC1=C2CC3CN(C(C2=NC4=CC=CC=C14)CN3CC=C)CC5=C(C=C(C=C5)OC)OC,5610
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)OC4=CC=CC=C4)OC,469
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)OC4=CC=CC=C4)OC,5880
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)OC4=CC=CC=C4)OC,2090
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)OC4=CC=CC=C4)OC,907
COC1=CC=C(C=C1)CN2CC3CCC(=CC4=CC=CC=C4)C2CN3CC=C,576
COC1=CC=C(C=C1)CN2CC3CCC(=CC4=CC=CC=C4)C2CN3CC=C,566
COC1=CC(=C(C=C1)CN2CC3CCC(=CC4=CC=CC=C4)C2CN3CC=C)OC,159
COC1=CC(=C(C=C1)CN2CC3CCC(=CC4=CC=CC=C4)C2CN3CC=C)OC,679
COC1=CC=C(C=C1)CN2CC3CC4=C(C2CN3CC=C)NC5=CC=CC=C45,23600
COC1=CC(=C(C=C1)CN2CC3CC4=C(C2CN3CC=C)NC5=CC=CC=C45)OC,3350
COC1=CC(=C(C=C1)CN2CC3CC4=C(C2CN3CC=C)NC5=CC=CC=C45)OC,3210
COC1=CC2=C(C=C1)NC3=C2CC4CN(C3CN4CC=C)CC5=C(C=C(C=C5)OC)OC,9330
COC1=CC2=C(C=C1)NC3=C2CC4CN(C3CN4CC=C)CC5=C(C=C(C=C5)OC)OC,10200
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)OCC4=CC=CC=C4,802
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)OCC4=CC=CC=C4,4750
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)OCC4=CC=CC=C4,578
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)OCC4=CC=CC=C4,6460
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4,479
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4,8390
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4)OC,400
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4)OC,22700
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4,688
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4)OC,2810
COC1=CC(=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4)OC,588
COC1=CC=C(C=C1)CN2CC3CCC(C2CN3CC=C)COC4=CC=CC=C4,862
