Displacement of [125I][Phe13,Tyr19]-MCH from rat MCHR1 by scintillation counting analysis
CC(C)(COC1=C(C=C(C=C1)N2C=NC3=C(C2=O)SC(=C3)C4=CC=C(C=C4)Cl)OC)O,7.2
COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC,8
COC1=C(C=C(C=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OC,106
COC1=C(C=C(C=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OC,87
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,0.4
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCCN5CCCC5,0.5
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,2.6
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,2.8
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCC(C5CC5)O,13
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,18
CNC1CCN(C1)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,0.3
C1C(CN1C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl)O,14
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,5.5
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=NC=C(C=C5)Cl,54
C1CN(CC1N2CC(C2)O)C3=NC=C(C=C3)N4C=NN5C=C(C=C5C4=O)C6=CC=C(C=C6)Cl,1.4
C1CN(CCC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,18
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,1.8
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CCC(C5)O,4.7
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CC(C(C5)O)O,2.3
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,3.8
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,1.5
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,12
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,12
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)N5CCC(C5)O,9.6
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OC)O,8.7
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,6.5
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,15
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC(C5CC5)O,15
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,23
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC5(CC(C5)(F)F)O,7.9
CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,1.4
