Inhibitory activity against glycogen phosphorylase, activity expressed as -logKi
C(C1C(C(C(C(O1)CO)O)O)O)O,1.49968e+06
C(C1C(C(C(C(O1)C(=O)N)O)O)O)O,439542
CS(=O)(=O)OCC1C(C(C(C(O1)CO)O)O)O,4.79733e+06
CNC(=O)C1C(C(C(C(O1)CO)O)O)O,159956
C(C1C(C(C(C(O1)CO)O)O)O)N,3.45144e+07
C(C1C(C(C(C(O1)O)O)O)S)O,2.14289e+06
C(C1C(C(C(C(O1)C(=O)NN)O)O)O)O,2.99916e+06
COC(=O)NC1(C(C(C(C(O1)CO)O)O)O)C(=O)N,15995.6
C(C1C(C(C(C(O1)O)O)O)O)O,1.69824e+06
C(C1C(C(C(C(O1)NC(=O)CCl)O)O)O)O,44978
C1=CC=C(C=C1)COC(=O)NC2C(C(C(C(O2)CO)O)O)O,349945
C(C1C(C(C(C(O1)NC(=O)N)O)O)O)O,139959
CCCC(=O)NC1C(C(C(C(O1)CO)O)O)O,93972.3
C1=CC=C(C=C1)C(=O)NC2C(C(C(C(O2)CO)O)O)O,80909.6
CC(=O)NCC(=O)NC1C(C(C(C(O1)CO)O)O)O,990832
CCC(=O)NC1C(C(C(C(O1)CO)O)O)O,38994.2
CC(=O)NC1C(C(C(C(O1)CO)O)O)O,31989
C(C1C(C(C(C2(O1)C(=O)NC(=O)N2)O)O)O)O,2999.16
C(C1C(C(C(C(O1)NC(=O)CBr)O)O)O)O,43954.2
C(C1C(C(C(C(O1)NC(=O)CN)O)O)O)O,369828
C(C1C(C(C(C2(O1)C(=O)N(C(=O)N2)N)O)O)O)O,145881
