Inhibition of Lactobacillus casei thymidylate synthase using N5,N10-methylene tetrahydrofolate by chromogenic assay
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4700
C1=CC2=C3C(=C1)C(=O)OC(C3=CC=C2)(C4=CC(=C(C=C4)O)Cl)C5=CC(=C(C=C5)O)Cl,700
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=NC=C3)Cl,23000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)C,6000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)C(=O)O)O,14000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=C(C=CC(=C3)C4=CC=CC=C4)O,3000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C#N,22000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CBr,95000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC(=C3)C(=O)O)C(=O)O,20000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)NCC(=O)O,3000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)O,69000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCCOC,41000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCC3=CC=CS3,3000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)S(=O)(=O)O,33000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)N4C=CN=C4,34000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC=C3)O,93000
CCOC(=O)C1=CC=C(C=C1)NCC2=CC=CC3=C2C(=O)N(C3=O)C,56000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C(=O)C4=CC=CC=C4,14000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C#N,51000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC(=CC=C3)S(=O)(=O)N,38000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C4=CC=CC=C43)[N+](=O)[O-],10000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=N)N.Cl,9000
CC1=CC=CC2=C1C(=O)N(C2=O)CCC3=CC=CS3,44000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)N4C(=O)C5=C(C4=O)C=C(C=C5)Cl)C,36000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCP(=O)(O)O,3000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(F)(F)F,14000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=NC=CS3,3000
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC4=C3C=CN4,25000
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=NC=C(C=C3)C(=O)O,27000
