Effect on histamine H3 receptors in vitro, on synaptosomes of rat cerebral cortex for the release of [3H]histamine
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,0.6
C#CC1=CC=C(C=C1)OCCCC2=CN=CN2,2.3
C1=CC(=CC=C1C#N)OCCCC2=CN=CN2,12
CCOC(=O)CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,122
CCCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,7
CCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,2.5
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,1.1
C1=CC=C(C=C1)CC(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,5.9
C1CCC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,7.2
CC(=O)C=CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,20
CC(=O)CCC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,91
CC(=O)CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,53
C1CN(CC2=C1NC3=C2C=C(C=C3)F)CCCC(=O)C4=CC=C(C=C4)OCCCC5=CN=CN5.C(=CC(=O)O)C(=O)O,410
C1=CC(=CC=C1C=CC=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,32
CS(=O)(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,40
CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,0.8
C1=CC(=CC=C1C=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,12
C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=O)(C(=O)O)O,55
C1=CC(=CC=C1CO)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,8.9
COC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,2.2
C1=CC(=CC=C1O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,18
CCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,0.74
CCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,2.6
C1CCC2=C(C1)C=CC(=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,45
C1CC2=C(C=CC(=C2)OCCCC3=CN=CN3)C(=O)C1.C(=CC(=O)O)C(=O)O,13
CCC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,57
C1CC2=C(C1)C=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,38
C1CC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,0.89
CC1=C(C=CC(=C1)C(=O)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.8
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)OC.C(=CC(=O)O)C(=O)O,325
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)C(F)(F)F.C(=O)(C(=O)O)O,17
CC1=CC(=CC(=C1C(=O)C)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,90
CC1=C(C=CC(=C1)OCCCC2=CN=CN2)C(=O)C.C(=CC(=O)O)C(=O)O,1.2
CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,1.9
CC(C)(C)CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,27
CC(C)C(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.8
C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,4
C1=CC(=CC=C1C(=O)CCCC(=O)O)OCCCC2=CN=CN2.Cl,49
C1CC1C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,0.49
