Inhibitory effect against human protein-tyrosine phosphatase alpha (PTPalpha), using p-nitrophenyl phosphate substrate at pH 5.5.
COC1=C(C=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,980000
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,250000
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,320000
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,290000
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,340000
COC1=CC(=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,1.789e+06
C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,93000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)O,210000
COC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,150000
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,65000
C1CC2=C(CC1O)SC(=C2C(=O)O)NC(=O)C(=O)O,215000
C1CC2=C(CC1=O)SC(=C2C(=O)O)NC(=O)C(=O)O,52000
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,170000
C1CC2=C(CC1C3OCCO3)SC(=C2C(=O)O)NC(=O)C(=O)O,150000
C1CS(=O)(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,322000
C1CS(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,363000
C1CSCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,100000
CC1=CC=CC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,870000
CC1=C(C(=CC=C1)NC(=O)C(=O)O)C(=O)O,2e+06
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,100000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,210000
COC1=CC=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,530000
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,180000
C1=CN=CC(=C1C(=O)O)NC(=O)C(=O)O,1e+06
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,100000
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,700000
CN(C1=CC=CC=C1C(=O)O)C(=O)C(=O)O,2e+06
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,280000
C1=CC(=C(C=C1I)C(=O)O)NC(=O)C(=O)O,89000
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,200000
C1=CSC(=C1C(=O)O)NC(=O)C(=O)O,1.7e+06
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,200000
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,250000
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,800000
CC1=CSC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,2e+06
