Displacement of [3H]CP-55,940 from CB1 receptor (unknown origin) after 1 hr by scintillation counting analysis
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,10.6
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C,137
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C(C)C,3365
CCN(CC)C1=CC=C(C=C1)CN(C(=O)C2CCCCC2)C34CC5CC(C3)CC(C5)C4,20000
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)CC3=CC=C(C=C3)Cl,3200
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC=C3,1773
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)F,1126
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)OC,20000
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC(=C3)C,866
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)Cl,412
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)C3CCCCC3,202
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)OC,7300
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=C(C=C3)Cl,2000
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)F,858
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)CC3=CC=CC=C3,20000
CCN(CC)C1=CC=C(C=C1)CN(C(=O)CC2=CC=CC=C2)C34CC5CC(C3)CC(C5)C4,20000
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)Cl,6617
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)C(=O)C3CCCCC3,20000
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)OC,1297
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC(=C5)C,8224
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC=C5,11000
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)Cl,2033
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)C,20000
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC=C3,514
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C,437
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC(=C3)C,218
CCN(CC)C1=CC=C(C=C1)CN(C(=O)CC2=CC=C(C=C2)Cl)C34CC5CC(C3)CC(C5)C4,20000
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)F,4268
