Inhibitory potency against human stromelysin, MMP-3
CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,20.33
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOC2=CC=CC=C2)CC(=O)NO,17.24
CC(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,17.62
CC(C)(C)C(C(=O)NCCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,18.14
CC(C)(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,16.82
CCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,17.7
CC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,18.43
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,20.18
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCC2=CC=CC=C2)CC(=O)NO,15.02
CCCC(=O)NCCCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,14.16
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOCC2=CC=CC=C2)CC(=O)NO,17.17
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=CC=C2)CC(=O)NO,17.11
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOCC2=CC=CC=C2)CC(=O)NO,16.44
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)OC)CC(=O)NO,16.88
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=C(C=C1)Cl)Cl)CC(=O)NO,15.13
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC(=C1)OC)CC(=O)NO,16.43
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=CC=C1)Cl)CC(=O)NO,15.73
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)F)CC(=O)NO,17.44
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)Cl)CC(=O)NO,18.21
CCCCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,16.44
CC(C)(C)C(C(=O)NCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,18.31
CC(C)(C)C(C(=O)NCCC1=CC=CC=N1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,15.42
CC(C)(C)C(C(=O)NCCC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,15.6
CC(C)(C)C(C(=O)NCCN1CCCC1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,15.81
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCCC2=CC=CC=C2)CC(=O)NO,17.04
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCO)CC(=O)NO,15.48
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCO)CC(=O)NO,16.78
CCCNC(=O)CCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,15.32
CC1=CC(=CC=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,17.24
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCOCC2=CC=CC=C2)CC(=O)NO,16.68
