Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])-phenylmethoxy]biphenyl-3-yl}methoxy)phenyl]propanoic acid from rat GPR40 expressed in CHO cells after 90 mins by liquid scintillation counting in the presence of 0.2%BSA
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,14.24
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,12.44
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCS(=O)(=O)C.O,13.06
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,13.89
CCC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)CC)OCCCS(=O)(=O)C,13.12
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,12.61
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(CCS(=O)(=O)CC5)O,11.95
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=C(N=C(S5)C)C,12.17
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OCCCS(=O)(=O)C)C,12.52
CC1=C(C(=C(C(=C1Cl)OCCCS(=O)(=O)C)Cl)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O,12.18
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,11.73
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=CC=CC6=NC=CN65,12.57
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,14.49
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,11.58
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,12.9
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCN5CCCC5=O,12.78
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OC5CCS(=O)(=O)CC5)C,11.33
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OC5CCS(=O)(=O)CC5,11.84
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OCCCS(=O)(=O)C,12.35
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,13.69
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,10.77
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCN(CC5)C.Cl,14.31
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)Cl)OCCCS(=O)(=O)C,12.45
