Inhibition of human CYP11B2 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,32.6
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,24.85
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,24.83
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,21.67
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,27.23
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,18.94
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,27.51
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,23.06
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,29.66
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,26.72
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,23.66
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,20.46
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,23.17
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,22.35
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,21.93
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,26.36
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,22.27
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,28.74
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,26.71
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,22.61
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,25.35
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,26.87
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,27.61
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,26.69
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,22.85
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,19.13
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,24.13
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,28.85
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,25.2
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,25.77
