Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.
CC1=CC(=O)C2=CC=CC=C2C1=O,24.74
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,24.19
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,8.63
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)C,10.87
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)C,11.53
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)C,10.96
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)N3CCN(CC3)C,12.28
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)N3CCN(CC3)C,12.56
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,9.08
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=CC=CC=C5C4=O)C,8.32
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,9.32
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,8.14
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,9.29
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,8.16
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,8.79
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCNC4=C(C(=O)C5=CC=CC=C5C4=O)C,9.25
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,10.7
CN1CCN(CC1)C(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)N4CCN(CC4)C,9.77
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,7.54
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,8.12
CN1CCN(CC1)CCCNC(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)NCCCN4CCN(CC4)C,7.98
CN1CCN(CC1)CCCNC(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)NCCCN4CCN(CC4)C,8.95
CN1CCN(CC1)CCCNC(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)NCCCN4CCN(CC4)C,7.94
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,7.56
CN1CCN(CC1)C(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)N4CCN(CC4)C,9.32
