Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O,19.63
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,20.29
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)N=CC=C4)CC(=O)O,22.7
COC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)OC,14.96
COC1=C2C(=CC=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,18.35
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,19.04
COC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,17.4
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)C(F)(F)F)C(F)(F)F)CC(=O)O,12.01
COC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,19.8
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)Cl)CC(=O)O,15.48
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)F)CC(=O)O,17.76
COC1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,19.89
CC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,20.71
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,17.45
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=C(S3)C=CC5=CC=CC=C54,17.76
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O,14.96
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4Cl)Cl)CC(=O)O,16.66
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)F)F)CC(=O)O,21.43
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=C(C=C4S3)Cl)Cl)CC(=O)O,16.11
C1C2(C3=C(N1CC4=CC=C(C=C4)F)C=CC(=C3)F)C(=O)NC(=O)N2,20.81
C1C2(C3=C(N1CC4=NC5=CC=CC=C5S4)C=CC(=C3)Cl)C(=O)NC(=O)N2,19.31
CC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,17.77
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Br)CC(=O)O,17.63
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC=C4Cl)CC(=O)O,21.92
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4F)F)CC(=O)O,20.65
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC=CC(=C4S3)C(F)(F)F)CC(=O)O,19.08
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Br)CC(=O)O,18.18
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)C(F)(F)F)C(=N3)CC(=O)O,18.47
C1=CC=C2C(=C1)C(=NN(C2=O)CSC3=NC4=CC=CC=C4S3)CC(=O)O,18.49
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)C(F)(F)F)C(=N3)CC(=O)O,18.89
C1=CC=C2C(=C1)C(=NN(C2=O)CCC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,14.62
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=C(C=C4S3)F)F)CC(=O)O,18.5
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)C(F)(F)F)CC(=O)O,17.06
CC1=C(C2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)F,16.94
COC1=CC2=C(C=C1C(F)(F)F)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,11.94
COC1=CC2=C(C(=C1)C(F)(F)F)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,13.75
CC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)C,21.69
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=CC(=C4)Br)C(=N3)CC(=O)O,14.32
CC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,20.76
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)Cl)C(=N3)CC(=O)O,19.36
CS(=O)C1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,12.98
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC=C4S3)F)CC(=O)O,23.55
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC=C4)Cl)CC(=O)O,23.33
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=C(C=C(C=C4)[N+](=O)[O-])C(=N3)CC(=O)O,18.51
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)Cl)CC(=O)O,21.12
