Inhibition of recombinant Flt3 using poly(Glu,Tyr) as substrate after 2 hrs by luminescence assay
C1CCN(C1)CCOC2=C3CN(CC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)CC(F)(F)F,12.57
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCOC)C1,17.02
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)CC5CC5,15.92
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,19.47
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)N5CCOCC5,14.85
CCS(=O)(=O)CCOC1=C2CN(CC=CCCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1)C,13.82
COCCN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,15.15
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)CCO,16.04
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OC(F)(F)F)C1,14.89
CN1CC=CCCOC2=C(C=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1)OC,16.17
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C(=C4)C1)OCCN5CCCC5)OC,13.59
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C(F)(F)F,15.8
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCN5CCCC5)C1,15.35
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OC)C1,17.84
C1CC(=O)NC2=CC=CC(=C2)NC3=NC=CC(=N3)C4=CC(=CC=C4)OCC=C1,16.09
CCS(=O)(=O)C1=C2CN(CC=CCCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1)C,13.68
CC(C)NCC(=O)N1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,14.98
CN1CC=CCOCC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,17.93
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)N5CCOCC5)C1,15.62
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)C5CC5,18.51
CN1CC=CCCOC2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1)F,19.27
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)N,19.93
C1CCN(C1)CCOC2=C3CN(CC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)CC#N,14.76
CN1CCN(CC1)CCOC2=C3CN(CC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)C,12.83
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCN5CCCCC5)C1,14.7
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)Cl)C1,17.48
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CNCC=C1,19.41
CC(C)CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,16.21
CC1=CN=C2NC3=CC=CC(=C3)CN(CC=CCCOC4=CC=CC(=C4)C1=N2)C,19.81
CCS(=O)(=O)CNC1=CC2=CC(=C1)NC3=NC=CC(=N3)C4=CC(=CC=C4)OCCC=CCN(C2)C,13.88
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCC(=O)N5CCCC5)C1,13.66
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)CC5=CC=CC=N5,12.99
CN1CC=CCC(=O)NC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,14.43
CC1=NC2=NC(=C1)C3=CC(=CC=C3)OCCC=CCN(CC4=CC(=CC=C4)N2)C,14.93
CCN(CC)CCOC1=C2CN(CC=CCCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1)C,15.43
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCN5CCOCC5)C1,14.75
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)NCC=C1,16.08
CN1CC=CCOCC2=CC(=CC=C2)NC3=NC=CC(=N3)C4=CC(=CC=C4)C1,17.47
