Inhibition of human cytomegalovirus DNA polymerase (95 uL) activity in a solution containing 6.4 mM HEPES (pH 7.5), incubation for 12 minutes at 26 degrees C
C(=O)(O)P(=O)(O)O,44.46
CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,18.9
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],9.18
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)C#CCO)CCO)Cl,14.29
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,12.17
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)CCCO)Cl,15.01
CN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,16.37
CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,15.25
CC(C)N1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,13.41
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)CCCO)CCO)Cl,14.55
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,12.8
CN1C=C(C(=O)C2=C1SC(=C2)CO)C(=O)NCC3=CC=C(C=C3)Cl,13.04
CN1C=C(C(=O)C2=C1SC(=C2)CCO)C(=O)NCC3=CC=C(C=C3)Cl,14.32
CN1C=C(C(=O)C2=C1SC(=C2)CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,15.72
CN1C=C(C(=O)C2=C1SC(=C2)CCCCCO)C(=O)NCC3=CC=C(C=C3)Cl,11.97
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCO)C(=O)NCC3=CC=C(C=C3)Cl,12.53
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,11.23
CN1C=C(C(=O)C2=C1SC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,13.79
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(C=C3)CCCO)Cl,17.25
CN1C=C(C(=O)C2=C1C=CC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,14.45
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)C#CCO)Cl,14.94
CN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,15.51
CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,14.33
CC(C)N1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,12.96
