Inhibitory effect against recombinant human protein-tyrosine phosphatase 1B (PTP1B), using p-nitrophenyl phosphate substrate at pH 5.5.
COC1=C(C=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,13.1
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,17.03
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,17.37
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,18.91
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,19.28
COC1=CC(=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,14.51
C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,11.96
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)O,17.4
COC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,15.7
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,12.07
C1CC2=C(CC1O)SC(=C2C(=O)O)NC(=O)C(=O)O,19.98
C1CC2=C(CC1=O)SC(=C2C(=O)O)NC(=O)C(=O)O,20.78
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CCC3=CC=CC=C3,17.54
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=NC4=CC=CC=C4C=C3,13.96
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=NC=C3,16.49
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=C3,16.65
CN1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,21.11
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,17.89
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CN=CC=C3,16.73
C1CNCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,24.19
C1CC2=C(CC1C3OCCO3)SC(=C2C(=O)O)NC(=O)C(=O)O,16.57
C1CS(=O)(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,16.33
C1CS(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,17.45
C1CSCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,17.68
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,22.18
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,15.35
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,16.48
COC1=CC=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,15.31
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,20.54
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,14.07
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,15.84
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,17.02
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=N3,16.6
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,15.34
COC1=CC=CC(=C1)CN2CCC3=C(C2)SC(=C3C(=O)O)NC(=O)C(=O)O,15.77
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,16.68
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,16.77
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,19.12
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,20.6
