Inhibitory activity against human cloned carbonic anhydrase isozyme I (hCA I, cytosolic form).
C1=CC(=CC=C1CCN)S(=O)(=O)N,23.36
C1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)N,17.76
C1=CC(=CC=C1CCO)S(=O)(=O)N,23.58
C1=CC(=CC=C1CO)S(=O)(=O)N,24.68
C1=CC=C(C(=C1)N)S(=O)(=O)N,25.22
CN1C(=N)SC(=N1)S(=O)(=O)N,25.9
C1(=NN=C(S1)S(=O)(=O)N)N,28.11
C1=CC(=CC(=C1)S(=O)(=O)N)N,26.73
C1=CC(=C(C=C1S(=O)(=O)N)I)N,17.52
C1=CC(=C(C=C1S(=O)(=O)N)Br)N,20.66
C1=CC(=C(C=C1S(=O)(=O)N)F)N,26.71
C1=CC(=CC=C1CN)S(=O)(=O)N,24.71
C1=CC(=C(C=C1S(=O)(=O)N)Cl)N,24.24
C1=CC(=CC=C1NN)S(=O)(=O)N,21.93
C1=CC(=CC=C1N)S(=O)(=O)N,26.44
C1=C(C(=C(C(=C1S(=O)(=O)N)Cl)Cl)N)S(=O)(=O)N,16.29
C1=CC2=C(C=C1OCCO)SC(=N2)S(=O)(=O)N,26.62
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=NN=C(S2)S(=O)(=O)N,22.6
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=CC(=C(C=C2S(=O)(=O)N)S(=O)(=O)N)Cl,14.79
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C(=C(C=C2S(=O)(=O)N)S(=O)(=O)N)Cl)Cl,13.52
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)Cl)N=C1,18.38
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)F)N=C1,19.51
C1=CC2=C(C(=O)N(C2=O)CCC3=CC=C(C=C3)S(=O)(=O)N)N=C1,18.33
CCN(C1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C)C(=O)C3=NC(=CC=C3)C(=O)O,13.51
C1=CC(=NC(=C1)C(=O)O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N,17.92
C1=CC(=NC(=C1)C(=O)O)C(=O)NCC2=CC=C(C=C2)S(=O)(=O)N,18.09
C1=CC2=C(C(=O)N(C2=O)CC3=CC=C(C=C3)S(=O)(=O)N)N=C1,18.85
C1=CC(=NC(=C1)C(=O)O)C(=O)NOCCC2=CC=C(C=C2)S(=O)(=O)N,15.6
C1=CC(=NC(=C1)C(=O)O)C(=O)NOCC2=CC=C(C=C2)S(=O)(=O)N,16.19
C1=CC2=C(C(=O)N(C2=O)NC3=CC=C(C=C3)S(=O)(=O)N)N=C1,14.66
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)Br)N=C1,16.27
C1=CC=C(C(=C1)N2C(=O)C3=C(C2=O)N=CC=C3)S(=O)(=O)N,15.42
C1=CC(=CC(=C1)S(=O)(=O)N)NC(=O)C2=NC(=CC=C2)C(=O)O,14.73
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)I)N=C1,14.48
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N,15.01
CN1C(=NC(=O)C2=NC(=CC=C2)C(=O)O)SC(=N1)S(=O)(=O)N,21.72
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,20.47
C1=CC(=NC(=C1)C(=O)O)C(=O)NCCC(=O)NC2=NN=C(S2)S(=O)(=O)N,19.28
C1=CC(=NC(=C1)C(=O)O)C(=O)NNC2=CC=C(C=C2)S(=O)(=O)N,13.93
C1=CC(=NC(=C1)C(=O)O)C(=O)NOCCOC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,17.85
C1=CC(=NC(=C1)C(=O)O)C(=O)NOC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,19.77
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)I,13.91
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)Br,15.59
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)F,18.55
CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,13.26
