Displacement of [3H]CP-55,940 from CB2 receptor (unknown origin) after 1 hr by scintillation counting analysis
CC1=CC=C(C=C1)CN2C(=CC(=N2)C(=O)NC3C(C4CCC3(C4)C)(C)C)C5=CC(=C(C=C5)Cl)C,18.23
CCCCCCCC(=O)N(CC1=CC=C(C=C1)N(CC)CC)C23CC4CC(C2)CC(C4)C3,14.12
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)C(C)C,10.65
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)CC2=CC=CC=C2,15.24
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)C(=O)C2=CC=C(C=C2)N(C)C,13.91
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C,16.78
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C(C)C,18.57
CCN(CC)C1=CC=C(C=C1)CN(C(=O)C2CCCCC2)C34CC5CC(C3)CC(C5)C4,17.64
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)Cl,11.46
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)CC3=CC=C(C=C3)Cl,16.56
CCN(CC)C1=CC=C(C=C1)CNC23CC4CC(C2)CC(C4)C3,15.04
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC=C3,18.41
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)F,15.97
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)OC,17.11
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC(=C3)C,19.31
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)Cl,19.24
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)C3CCCCC3,17.58
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)OC,14.22
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)F,13.71
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)C(=O)CC2=CC=C(C=C2)Cl,14.35
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)C(=O)C2CCCCC2,17.26
CCN(CC)C1=CC=C(C=C1)CNC2=CC=C(C=C2)Cl,17.9
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=C(C=C3)Cl,15.56
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)F,19.35
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)CC3=CC=CC=C3,18.48
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)C(C)C,12.82
CCN(CC)C1=CC=C(C=C1)CN(C(=O)CC2=CC=CC=C2)C34CC5CC(C3)CC(C5)C4,16.77
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)Cl,16.06
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)C(=O)C3CCCCC3,17.01
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)OC,21.21
CC1=CC=C(C=C1)S(=O)(=O)N(CCC2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C,14.48
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC(=C5)C,16.54
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C(C)C,14.13
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC=C5,15.63
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)Cl,13.88
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)C,15.7
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=CC(=C2)C,13.09
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC=C3,20.73
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C,19.56
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC(=C3)C,19.49
CCN(CC)C1=CC=C(C=C1)CN(C(=O)CC2=CC=C(C=C2)Cl)C34CC5CC(C3)CC(C5)C4,15.95
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)C,12.91
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)C2=CC=C(C=C2)OC,11.83
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)S(=O)(=O)CCCC,15.52
CCCCCCCN(CC1=CC=C(C=C1)N(CC)CC)C(=O)CC2=CC=CC=C2,14.91
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)F,16.15
