Effect on histamine H3 receptors in vitro, on synaptosomes of rat cerebral cortex for the release of [3H]histamine
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,29.86
C#CC1=CC=C(C=C1)OCCCC2=CN=CN2,38.18
C1=CC(=CC=C1C#N)OCCCC2=CN=CN2,34.85
CCOC(=O)CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,20.07
CCCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,25.94
CCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,28.64
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,34.16
C1=CC=C(C=C1)CC(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,25.68
C1CCC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,27.29
CC(=O)C=CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,28.48
CC(=O)CCC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,25.85
CC(=O)CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,28.17
C1CN(CC2=C1NC3=C2C=C(C=C3)F)CCCC(=O)C4=CC=C(C=C4)OCCCC5=CN=CN5.C(=CC(=O)O)C(=O)O,13.87
C1=CC(=CC=C1C=CC=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,29.24
CS(=O)(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,26.39
CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,37.24
C1=CC(=CC=C1C=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,34.4
C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=O)(C(=O)O)O,35.89
C1=CC(=CC=C1CO)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,34.66
COC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,37.27
C1=CC(=CC=C1O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,35.49
CCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,35.35
CCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,29.98
C1CCC2=C(C1)C=CC(=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,28.66
C1CC2=C(C=CC(=C2)OCCCC3=CN=CN3)C(=O)C1.C(=CC(=O)O)C(=O)O,29.17
CCC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,26.22
C1CC2=C(C1)C=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,30.62
C1CC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,31.83
CC1=C(C=CC(=C1)C(=O)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,32.2
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)OC.C(=CC(=O)O)C(=O)O,23.65
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)C(F)(F)F.C(=O)(C(=O)O)O,24.88
CC1=CC(=CC(=C1C(=O)C)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,25.87
CC1=C(C=CC(=C1)OCCCC2=CN=CN2)C(=O)C.C(=CC(=O)O)C(=O)O,34.53
CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,32.02
CC(C)(C)CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,25.2
CC(C)C(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,30.55
C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,28.72
C1=CC(=CC=C1C(=O)CCCC(=O)O)OCCCC2=CN=CN2.Cl,23.11
C1CC1C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,34.44
