Inhibition of Lactobacillus casei thymidylate synthase using N5,N10-methylene tetrahydrofolate by chromogenic assay
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,16.74
C1=CC2=C3C(=C1)C(=O)OC(C3=CC=C2)(C4=CC(=C(C=C4)O)Cl)C5=CC(=C(C=C5)O)Cl,14.08
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=NC=C3)Cl,17.01
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)C,18.7
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)C(=O)O)O,16.33
CC1=CC=CC2=C1C(=O)N(C2=O)C3=C(C=CC(=C3)C4=CC=CC=C4)O,16.77
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C#N,17.76
CN1C(=O)C2=C(C1=O)C(=CC=C2)CBr,15.83
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC(=C3)C(=O)O)C(=O)O,14.45
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)NCC(=O)O,16.32
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)O,14.79
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCCOC,16.73
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCC3=CC=CS3,18.39
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)S(=O)(=O)O,12.94
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)N4C=CN=C4,14.73
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC=C3)O,15.92
CCOC(=O)C1=CC=C(C=C1)NCC2=CC=CC3=C2C(=O)N(C3=O)C,12.57
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C(=O)C4=CC=CC=C4,13.1
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C#N,14.74
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC(=CC=C3)S(=O)(=O)N,12.8
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C4=CC=CC=C43)[N+](=O)[O-],13.84
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=N)N.Cl,18.07
CC1=CC=CC2=C1C(=O)N(C2=O)CCC3=CC=CS3,16.06
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)N4C(=O)C5=C(C4=O)C=C(C=C5)Cl)C,10.31
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCP(=O)(O)O,18.52
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(F)(F)F,15.9
CC1=CC=CC2=C1C(=O)N(C2=O)C3=NC=CS3,22.61
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC4=C3C=CN4,16.66
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=NC=C(C=C3)C(=O)O,14.68
