Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])phenylmethoxy]biphenyl-3-yl}methoxy)phenyl] propanoic acid from human GPR40 receptor expressed in CHO cell membrane after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F,19.8
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O,20.36
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,14.73
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C.Cl,16.64
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,17.03
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C,14.99
CC1=C(C(=CC=C1)C)C2=CC(=CC(=C2)OC)COC3=CC(=C(C=C3)CCC(=O)O)F,17.15
CC1=C(C(=CC=C1)C)C2=C(C=CC(=C2)COC3=CC=C(C=C3)CCC(=O)O)OC,18.77
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,15.2
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,13.9
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OC,19.47
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4=CC=CC=C4,16.77
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,16.98
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCOCC4,16.09
CC1=NC(=CC=C1)OC2=CC(=C(C(=C2)C)C3=CC(=CC=C3)COC4=CC(=C(C=C4)CCC(=O)O)F)C.Cl,16.31
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCCCN4CCCC4=O,14.78
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,13.87
CC1=C(C(=CC=C1)C)C2=C(C(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,19.32
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4CC4,18.11
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,14.8
CC1=C(C(=CC=C1)C)C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)CCC(=O)O,16.09
