Inhibition of human factor 10a using N-Z-D-Arg-Gly-Arg-pNA, S-2765 chromogenic substrate
C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,18.51
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,18.25
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,15.6
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,16.66
CC(=O)N(C)C1=CC2=C(C=C1)N3C(CO2)C(OC3=O)CNC(=O)C4=CC=C(S4)Cl,16.2
C1COC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,13.64
C1CN(C(=O)CC12OCCO2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,10.77
COC1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,12.66
COC1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,11.65
C1CN(C(=O)CC1O)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.41
C1CN(C(=O)CC1F)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,15.28
C1CN(C(=O)CC1O)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,12.37
C1CN(C(=O)CC1F)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,15.4
C1CN(C(=O)CN1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.52
CN1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,11.86
CCN1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,9.78
C1CN(C(=O)CN1CC2=CC=CC=C2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,8.94
CC(=O)N1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,14.11
CS(=O)(=O)N1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,9.94
