Inhibition of human CYP11B1 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,34.58
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,29.63
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,27.94
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,25.12
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,28.56
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,23.61
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,30.04
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,24.14
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,31.1
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,28.68
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,23.76
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,20.96
C1=CC=C(C=C1)C2=NC=C(C=N2)CN3C=CN=C3,25.18
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,27.8
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,22.18
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,24.12
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,30.43
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,26.77
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,33.42
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,30.07
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,24.41
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,26.3
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,30.01
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,27.88
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,28.28
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,24.74
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,22.01
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,26.12
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,27.56
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,28.46
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,27.74
