Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 60 mins by ELISA
CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,19.89
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C)N,16.05
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,14.64
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,13.61
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)N,13.35
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N(C)C)F)N,13.9
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCN(CC4)C)N,15.39
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)OCC(=O)N4CCOCC4)N,13.6
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,14.51
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=CN=C3)N,17.25
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)S(=O)(=O)C)N,12.19
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C(=O)N(C)C)N,14.62
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)C)F)N,13.37
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,16.69
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,16.41
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CCO)N,16.87
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)N(C)C)N,12.36
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCOCC4)N,14.5
CCN(CC)CCNC(=O)C1=CC=C(C=C1)C2=CC(=C(N=C2)N)SC(C)C3=C(C=CC(=C3Cl)F)Cl,13.06
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,17.4
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CC(=O)N(C)C)N,15.69
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC4=C(C=C3)NC(=O)C4)N,15.36
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)CCO)N,12.9
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)F)N,11.43
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)S(=O)(=O)C)N,13.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCOCC4)N,14.98
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCOCC4)F)N,13.37
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C)N,17.6
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N(C)C)N,15.82
CC(C)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC(=C(N=C3)N)SC(C)C4=C(C=CC(=C4Cl)F)Cl,12.09
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)CO)N,14.15
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)C)N,14.61
