Inhibition of electric eel AChE preincubated for 30 mins prior to horseradish peroxidase, H2O2 and DETAPAC addition measured for 20 mins under ROS condition by Muraoka and Miura method
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,33.98
CCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,26.27
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCN,18.15
CCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,23.48
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,14.29
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCN,23.84
CCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,21.65
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,14.88
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCN,24.42
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCCCN,21.25
CCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,23.93
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.51
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCO,25.86
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,11.54
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,15.13
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCN,22.32
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.51
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.92
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.62
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.17
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.22
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.49
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,13.68
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,16.2
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.19
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,12.19
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCN,23.64
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCN,18.96
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCN,22.61
CCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,24.32
CCCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,17.69
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCO,18.25
