Inhibition of the DNA repair Poly (ADP-ribose) polymerase 1, in permeabilised L1210 murine leukemia cells
C1=CC(=CC(=C1)N)C(=O)N,34.66
CC1=CC=CC2=C1CCNC2=O,39.43
CC1=CC=CC2=C1NC(=C3C=CC(=O)C=C3)NC2=O,26.39
C1=CC2=C(C(=C1)O)NC(=C3C=CC(=O)C=C3)NC2=O,25.71
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)N,24.81
C1=CC(=CC(=C1)O)C(=O)N,37.17
CC1=NC(=O)C2=C(N1)C(=CC=C2)O,36.32
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,25.65
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],20.42
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],24.48
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,21.31
C1=CC=C2C(=C1)C=CNC2=O,33.08
C1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)O,25.08
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],23.44
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(=O)OC,18.07
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N,25.3
COC1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)OC,20.19
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)OC,25.24
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,25.14
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F,13.77
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,21.18
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N=[N+]=[N-],19.48
CC1=NC(=O)C2=C(N1)C(=CC=C2)OC,32.11
CC1=CC=CC2=C1NC(=NC2=O)C,36.79
